Jerome James,Oklahoma City Thunder,10,2004-05,42.7(42.7),0.0(0.0),0.0(0.0),4.3(4.3),0.0(0.0),0.0(0.0),10.2(10.2),12.3(12.3),10.5(10.5),11.3(11.3)
Jamaal Magloire,New Orleans Pelicans,10,2004-05,51.4(51.4),0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0),7.1(7.1),6.3(6.3),11.1(11.1),11.1(11.1)
Tim Thomas,New York Knicks,5,2004-05,25.2(25.2),2.4(2.4),11.1(11.1),9.2(9.2),4.1(4.1),0.0(0.0),31.8(31.8),0.0(0.0),4.6(4.6),2.8(2.8)
Juwan Howard,Houston Rockets,5,2004-05,23.6(23.6),0.0(0.0),9.7(9.7),6.4(6.4),0.0(0.0),0.0(0.0),26.7(26.7),13.4(13.4),7.1(7.1),7.0(7.0)
Michael Redd,Milwaukee Bucks,12,2004-05,6.4(6.4),14.6(14.6),23.3(23.3),10.4(10.4),19.4(19.4),2.9(2.9),12.4(12.4),0.0(0.0),2.2(2.2),2.6(2.6)
Brent Barry,San Antonio Spurs,4,2004-05,0.0(0.0),8.4(8.4),5.6(5.6),14.8(14.8),10.3(10.3),3.3(3.3),44.6(44.6),0.0(0.0),3.5(3.5),0.0(0.0)
JR Smith,New Orleans Pelicans,8,2004-05,1.5(1.5),14.7(14.7),10.7(10.7),18.6(18.6),8.1(8.1),8.3(8.3),25.7(25.7),0.0(0.0),5.0(5.0),1.4(1.4)
Tony Massenburg,San Antonio Spurs,11,2004-05,33.0(33.0),0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0),13.3(13.3),8.9(8.9),19.7(19.7),10.8(10.8)
Alonzo Mourning,Miami Heat,11,2004-05,30.1(30.1),0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0),23.7(23.7),14.0(14.0)
Rafael Araujo,Toronto Raptors,5,2004-05,26.9(26.9),0.0(0.0),0.0(0.0),7.7(7.7),0.0(0.0),0.0(0.0),14.8(14.8),11.5(11.5),14.3(14.3),14.3(14.3)
Andre Iguodala,Philadelphia 76ers,2,2004-05,6.8(6.8),5.8(5.8),6.9(6.9),25.8(25.8),3.5(3.5),0.0(0.0),25.5(25.5),0.0(0.0),12.4(12.4),4.2(4.2)
Nenad Krstic,Brooklyn Nets,11,2004-05,25.7(25.7),0.0(0.0),2.8(2.8),8.1(8.1),0.0(0.0),0.0(0.0),13.4(13.4),8.3(8.3),20.7(20.7),12.3(12.3)
Matt Harpring,Utah Jazz,2,2004-05,10.6(10.6),0.0(0.0),4.5(4.5),12.1(12.1),17.8(17.8),1.3(1.3),15.9(15.9),0.0(0.0),19.5(19.5),10.5(10.5)
Ryan Humphrey,Memphis Grizzlies,6,2004-05,12.4(12.4),0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0),16.5(16.5),0.0(0.0),23.7(23.7),19.6(19.6)
Joel Przybilla,Portland Trail Blazers,6,2004-05,5.7(5.7),0.0(0.0),3.6(3.6),4.5(4.5),0.0(0.0),0.0(0.0),7.4(7.4),18.1(18.1),38.6(38.6),14.3(14.3)
