Kelvin Cato_1_Orlando Magic_0_2004-05,13.9,0.0,4.3,7.5,0.0,0.0,13.0,11.8,32.1,11.0
Manu Ginobili_1_San Antonio Spurs_0_2004-05,1.6,19.1,12.3,12.9,6.2,4.8,29.0,0.0,4.3,2.6
Paul Pierce_1_Boston Celtics_0_2004-05,12.8,11.8,23.7,13.3,8.8,1.9,14.7,0.0,3.4,2.3
Lamar Odom_1_Los Angeles Lakers_0_2004-05,14.0,0.0,33.4,9.3,1.9,1.5,16.0,4.5,7.2,6.4
Chris Andersen_1_New Orleans Pelicans_0_2004-05,16.3,0.0,11.5,7.8,0.0,0.0,15.1,6.3,21.7,16.1
Dan Dickau_1_New Orleans Pelicans_0_2004-05,0.0,28.5,15.3,19.1,4.4,7.1,16.0,0.0,2.8,0.0
Kenny Thomas_1_Philadelphia 76ers_0_2004-05,13.9,0.0,14.6,7.7,0.0,0.0,29.4,12.8,8.4,7.1
Chris Mihm_1_Los Angeles Lakers_0_2004-05,34.0,0.0,2.3,7.5,0.0,0.0,5.8,9.0,18.1,17.2
Rodney Rogers_1_New Orleans Pelicans_0_2004-05,12.3,0.0,19.5,9.0,3.0,0.0,28.4,4.5,8.4,3.6
Stromile Swift_1_Memphis Grizzlies_0_2004-05,28.8,0.0,10.9,10.1,0.0,0.0,12.4,6.9,15.7,8.6
Dirk Nowitzki_1_Dallas Mavericks_0_2004-05,12.3,4.1,25.5,11.5,7.8,1.0,21.6,5.6,1.4,2.4
Alonzo Mourning_1_Brooklyn Nets_0_2004-05,44.2,0.0,8.8,0.0,0.0,0.0,13.3,0.0,16.8,0.0
Francisco Elson_1_Denver Nuggets_0_2004-05,12.9,0.0,7.8,7.8,0.0,0.0,17.1,11.5,17.5,12.9
Stanislav Medvedenko_1_Los Angeles Lakers_0_2004-05,7.4,0.0,18.2,7.4,0.0,0.0,26.7,11.4,10.8,10.2
Rasheed Wallace_1_Detroit Pistons_0_2004-05,31.0,0.0,6.3,6.3,1.2,0.0,23.9,9.1,8.4,8.2
Mike Dunleavy_1_Golden State Warriors_0_2004-05,4.3,7.1,7.7,19.3,8.0,1.9,33.7,0.0,6.4,4.0
Allen Iverson_1_Philadelphia 76ers_0_2004-05,0.0,35.2,20.6,22.1,3.7,2.0,7.9,0.0,1.4,0.9
Bob Sura_1_Houston Rockets_0_2004-05,0.0,18.0,15.9,6.5,0.0,0.0,30.8,0.0,4.3,1.9
Bobby Simmons_1_Los Angeles Clippers_0_2004-05,4.4,3.6,12.2,9.5,16.2,1.7,35.0,1.8,3.0,4.9
Eddie Jones_1_Miami Heat_0_2004-05,0.0,3.1,7.4,14.2,19.8,1.5,39.4,0.0,6.5,1.7
Shareef Abdur-Rahim_1_Portland Trail Blazers_0_2004-05,25.4,0.0,9.8,8.3,0.0,0.0,21.1,9.5,10.6,9.9
Earl Boykins_1_Denver Nuggets_0_2004-05,0.0,31.5,13.6,26.4,3.1,0.0,13.0,0.0,1.1,0.0
Eric Williams_1_Toronto Raptors_0_2004-05,27.2,0.0,11.2,11.2,0.0,0.0,29.0,0.0,5.9,0.0
Tracy McGrady_1_Houston Rockets_0_2004-05,10.3,25.8,23.1,10.1,9.9,0.9,11.2,0.0,2.8,1.9
Andre Miller_1_Denver Nuggets_0_2004-05,8.7,19.4,20.7,23.8,1.7,0.0,8.7,0.0,5.7,2.9
Jerome James_1_Oklahoma City Thunder_0_2004-05,42.7,0.0,0.0,4.3,0.0,0.0,10.2,12.3,10.5,11.3
Jamaal Magloire_1_New Orleans Pelicans_0_2004-05,51.4,0.0,0.0,0.0,0.0,0.0,7.1,6.3,11.1,11.1
Tim Thomas_1_New York Knicks_0_2004-05,25.2,2.4,11.1,9.2,4.1,0.0,31.8,0.0,4.6,2.8
Juwan Howard_1_Houston Rockets_0_2004-05,23.6,0.0,9.7,6.4,0.0,0.0,26.7,13.4,7.1,7.0
Michael Redd_1_Milwaukee Bucks_0_2004-05,6.4,14.6,23.3,10.4,19.4,2.9,12.4,0.0,2.2,2.6
Brent Barry_1_San Antonio Spurs_0_2004-05,0.0,8.4,5.6,14.8,10.3,3.3,44.6,0.0,3.5,0.0
JR Smith_1_New Orleans Pelicans_0_2004-05,1.5,14.7,10.7,18.6,8.1,8.3,25.7,0.0,5.0,1.4
Tony Massenburg_1_San Antonio Spurs_0_2004-05,33.0,0.0,0.0,0.0,0.0,0.0,13.3,8.9,19.7,10.8
Alonzo Mourning_1_Miami Heat_0_2004-05,30.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.7,14.0
Rafael Araujo_1_Toronto Raptors_0_2004-05,26.9,0.0,0.0,7.7,0.0,0.0,14.8,11.5,14.3,14.3
Andre Iguodala_1_Philadelphia 76ers_0_2004-05,6.8,5.8,6.9,25.8,3.5,0.0,25.5,0.0,12.4,4.2
