PLAYER_NAME,STL,BLK,DREB,RIM_FGM,RIM_FGA,RIM_FG_PCT
Jonas Valanciunas,0.4,1.3,6.1,4.0,7.7,0.52
Marcus Thornton,0.8,0.1,1.8,0.5,0.8,0.66
Myles Turner,0.4,1.4,4.4,3.6,7.1,0.51
Hollis Thompson,0.5,0.3,2.8,1.2,2.3,0.52
Al-Farouq Aminu,0.9,0.6,4.9,1.7,3.3,0.51
Nerlens Noel,1.8,1.5,5.8,4.0,8.3,0.49
Sean Kilpatrick,0.4,0.1,1.4,0.6,0.9,0.7
Enes Kanter,0.3,0.4,5.1,2.9,5.5,0.53
Marcus Smart,1.5,0.3,2.9,1.0,1.7,0.57
Terrence Ross,0.8,0.3,2.3,0.6,1.3,0.47
Raymond Felton,0.9,0.2,2.8,0.8,1.5,0.56
Gerald Green,0.6,0.3,2.0,0.8,1.5,0.55
Dwight Howard,1.0,1.6,8.4,3.6,7.2,0.5
Jerryd Bayless,0.9,0.2,2.3,0.8,1.5,0.54
Patrick Beverley,1.3,0.4,2.5,0.9,1.6,0.58
Allen Crabbe,0.8,0.2,2.3,0.6,1.3,0.48
Shabazz Muhammad,0.3,0.1,2.0,0.8,1.4,0.57
Stanley Johnson,0.8,0.2,3.4,0.8,1.3,0.58
Gary Neal,0.5,0.0,1.8,0.8,1.2,0.66
Courtney Lee,1.1,0.4,2.2,0.7,1.2,0.6
Robin Lopez,0.2,1.6,4.1,3.6,7.9,0.46
Kelly Olynyk,0.8,0.5,3.0,2.2,4.1,0.55
Alex Len,0.5,0.8,5.3,2.9,5.7,0.51
Shelvin Mack,0.7,0.1,2.2,0.6,0.9,0.59
Doug McDermott,0.2,0.1,2.0,1.1,1.8,0.6
Luis Scola,0.6,0.3,3.7,1.8,3.1,0.57
Jameer Nelson,0.6,0.1,2.5,0.7,1.5,0.5
O.J. Mayo,1.2,0.2,2.2,1.0,1.7,0.6
Jerami Grant,0.7,1.6,3.4,2.3,4.9,0.46
Jeremy Lamb,0.6,0.5,3.2,0.8,1.4,0.57
Ricky Rubio,2.1,0.1,3.8,1.2,1.9,0.6
Austin Rivers,0.7,0.1,1.6,0.5,1.3,0.41
Kyle Korver,0.8,0.4,3.1,1.8,3.2,0.56
Rodney Stuckey,0.7,0.1,2.4,0.7,1.1,0.58
Patty Mills,0.7,0.1,1.6,0.5,0.8,0.68
Jusuf Nurkic,0.8,1.4,3.4,2.8,4.8,0.59
Kevin Martin,0.5,0.1,1.7,0.6,0.8,0.77
Jordan Hill,0.5,0.5,4.0,2.9,5.5,0.53
Nikola Jokic,1.0,0.6,4.7,2.7,5.6,0.49
Aaron Gordon,0.8,0.7,4.6,1.9,3.6,0.53
Manu Ginobili,1.1,0.2,2.1,0.6,1.0,0.58
Nik Stauskas,0.6,0.3,2.2,1.0,1.9,0.51
Wayne Ellington,0.6,0.1,2.0,0.8,1.2,0.68
