PLAYER_NAME,DRIVE,CATCH_SHOOT,PULL_UP,PAINT_TOUCH,POST_TOUCH,ELBOW_TOUCH,FG3A
Corey Brewer,0.18,0.32,0.07,0.04,0.06,0.01,0.41
Ben McLemore,0.13,0.4,0.12,0.06,0.08,0.06,0.41
E'Twaun Moore,0.24,0.28,0.27,0.07,0.04,0.04,0.27
DeAndre Jordan,0.01,0.0,0.01,0.51,0.5,0.05,0.0
Jason Smith,0.07,0.65,0.06,0.07,0.08,0.14,0.03
Frank Kaminsky,0.16,0.35,0.05,0.15,0.19,0.01,0.39
Lance Thomas,0.15,0.32,0.15,0.13,0.16,0.06,0.28
Wesley Johnson,0.01,0.61,0.12,0.07,0.09,0.03,0.6
Joffrey Lauvergne,0.04,0.23,0.01,0.37,0.35,0.1,0.14
Shane Larkin,0.34,0.11,0.32,0.03,0.01,0.04,0.22
Josh Smith,0.13,0.35,0.07,0.13,0.15,0.05,0.41
Marreese Speights,0.06,0.42,0.07,0.13,0.15,0.13,0.14
JaMychal Green,0.03,0.23,0.03,0.26,0.28,0.05,0.09
Garrett Temple,0.11,0.44,0.11,0.03,0.03,0.01,0.51
Brandon Jennings,0.19,0.26,0.39,0.0,0.0,0.0,0.51
Ian Mahinmi,0.03,0.04,0.0,0.42,0.46,0.12,0.0
Mason Plumlee,0.07,0.01,0.03,0.31,0.31,0.13,0.01
Jose Calderon,0.08,0.41,0.38,0.01,0.03,0.01,0.45
Patrick Patterson,0.18,0.57,0.1,0.03,0.04,0.0,0.59
Zaza Pachulia,0.03,0.1,0.01,0.4,0.43,0.12,0.01
PJ Hairston,0.21,0.5,0.08,0.02,0.02,0.02,0.59
David Lee,0.06,0.03,0.03,0.35,0.41,0.06,0.0
Luke Babbitt,0.33,0.41,0.09,0.01,0.01,0.04,0.37
Mike Dunleavy,0.08,0.49,0.1,0.13,0.18,0.01,0.53
Andrea Bargnani,0.08,0.5,0.15,0.11,0.09,0.24,0.05
Jared Dudley,0.05,0.63,0.09,0.08,0.09,0.06,0.49
Greivis Vasquez,0.28,0.3,0.3,0.02,0.02,0.07,0.53
Cody Zeller,0.07,0.07,0.01,0.37,0.36,0.15,0.02
Justise Winslow,0.14,0.25,0.06,0.2,0.22,0.05,0.25
Randy Foye,0.25,0.34,0.25,0.0,0.0,0.0,0.52
Paul Pierce,0.11,0.52,0.23,0.02,0.02,0.02,0.61
Devin Harris,0.2,0.32,0.11,0.07,0.08,0.04,0.43
Rudy Gobert,0.02,0.02,0.0,0.44,0.46,0.04,0.0
David West,0.03,0.37,0.04,0.25,0.31,0.15,0.02
TJ McConnell,0.38,0.13,0.41,0.02,0.03,0.0,0.19
Donald Sloan,0.31,0.23,0.16,0.06,0.04,0.03,0.28
Vince Carter,0.12,0.44,0.11,0.06,0.08,0.03,0.49
Kosta Koufos,0.01,0.04,0.01,0.47,0.53,0.03,0.0
D.J. Augustin,0.29,0.24,0.29,0.01,0.01,0.03,0.48
Andre Iguodala,0.09,0.33,0.14,0.11,0.11,0.01,0.42
Iman Shumpert,0.17,0.4,0.19,0.0,0.0,0.03,0.48
Andrew Nicholson,0.13,0.31,0.06,0.13,0.2,0.0,0.36
Kris Humphries,0.05,0.45,0.05,0.12,0.12,0.06,0.37
Donatas Motiejunas,0.06,0.26,0.03,0.24,0.34,0.06,0.28
Leandro Barbosa,0.2,0.3,0.11,0.03,0.05,0.11,0.3
Trey Lyles,0.16,0.41,0.15,0.08,0.1,0.05,0.29
Amir Johnson,0.05,0.05,0.03,0.41,0.44,0.03,0.1
Alexis Ajinca,0.05,0.3,0.05,0.3,0.32,0.22,0.0
Spencer Hawes,0.07,0.37,0.07,0.23,0.3,0.03,0.33
Ty Lawson,0.26,0.21,0.28,0.04,0.04,0.0,0.3
Mario Hezonja,0.11,0.39,0.2,0.03,0.03,0.05,0.46
Tony Snell,0.17,0.45,0.19,0.06,0.04,0.02,0.46
Charlie Villanueva,0.18,0.41,0.12,0.06,0.08,0.06,0.53
Steven Adams,0.0,0.03,0.0,0.59,0.57,0.05,0.0
Maurice Harkless,0.19,0.23,0.03,0.16,0.17,0.03,0.34
