PLAYER_NAME,Transition,Isolation,PRBallHandler,PRRollman,Postup,Spotup,Handoff,Cut,OffScreen,OffRebound
Darren Collison,30.09,11.13,25.28,0,0,18.36,3.41,3.21,0,1.0
DeMarre Carroll,21.36,5.88,9.29,0,0,32.51,3.41,8.05,8.05,4.33
Lou Williams,14.15,9.33,43.69,0,0,10.26,7.9,1.54,8.82,1.54
Julius Randle,15.77,21.79,2.19,9.39,11.94,11.21,0,8.66,2.19,10.39
Jeff Green,16.56,12.19,6.25,3.34,12.81,29.06,4.06,5.0,5.81,3.44
Michael Carter-Williams,13.32,11.78,32.52,0,4.74,14.72,2.43,8.19,1.28,2.94
Michael Beasley,15.14,17.53,5.18,12.35,5.58,20.32,0,7.97,0,7.17
Marcin Gortat,7.56,1.12,0,23.08,15.63,1.63,0,31.36,0,10.73
Luol Deng,15.48,4.28,2.85,7.03,6.7,35.46,1.87,9.55,4.5,6.92
Gary Harris,21.38,3.95,10.42,0,0,26.54,14.69,9.76,7.68,1.97
Draymond Green,18.54,5.0,5.0,12.63,8.7,19.69,1.31,9.68,2.3,7.05
Elfrid Payton,15.38,7.13,34.83,0,0,18.02,5.7,5.4,1.93,4.07
Jared Sullinger,6.92,5.8,0,16.79,16.28,20.85,0,8.85,4.78,12.51
George Hill,20.64,4.77,28.75,0,1.22,19.76,4.11,3.44,9.21,2.44
Trey Burke,12.18,6.83,34.67,0,0,24.1,13.39,0,3.35,0
CJ Miles,20.42,2.64,7.11,2.5,0,29.12,10.54,0,18.71,2.37
Tony Parker,12.5,5.54,50.98,0,0,11.96,4.78,2.72,6.96,0
Mirza Teletovic,13.67,2.91,1.29,8.93,13.46,32.51,4.74,2.05,12.06,3.98
Dennis Schroder,9.57,6.89,54.35,0,0,12.34,6.12,1.53,4.5,0
Kent Bazemore,23.43,4.75,15.12,0,0,30.13,6.8,8.86,4.64,1.51
Otto Porter,24.64,1.55,9.88,2.62,1.31,28.93,2.5,9.4,7.26,7.14
Jose Juan Barea,8.59,8.94,52.85,0,0,17.19,5.11,1.16,1.74,0
Harrison Barnes,19.12,8.69,4.41,2.94,12.7,29.55,1.34,9.63,4.14,3.61
Bojan Bogdanovic,18.66,7.81,12.26,0,7.16,31.02,2.39,4.88,9.76,1.84
Isaiah Canaan,18.38,11.07,20.32,0,0,27.85,8.9,2.28,5.59,0
TJ Warren,23.46,4.17,10.34,0,0,22.27,4.37,9.15,10.93,8.95
Marco Belinelli,13.04,0,13.3,0,0,20.34,9.26,3.78,33.64,0
Kenneth Faried,13.27,2.21,0,16.22,11.55,5.16,0,20.76,0,21.25
Evan Turner,15.02,10.51,31.53,0,10.51,13.81,5.71,4.3,2.2,2.3
Jeremy Lin,13.2,7.39,32.71,0,0,21.87,7.29,4.24,7.09,0
Hassan Whiteside,3.97,2.09,0,20.77,21.92,1.98,0,18.06,0,20.46
Nikola Mirotic,11.63,3.92,2.78,7.59,11.13,36.41,5.31,5.56,5.06,4.55
Marvin Williams,8.11,0,2.05,14.84,4.34,39.5,3.65,6.39,4.57,9.02
Matt Barnes,20.74,2.88,5.3,3.34,2.3,31.11,3.11,9.33,7.03,6.22
Dion Waiters,19.08,15.18,25.45,0,0,24.44,3.57,0,7.03,1.12
Omri Casspi,23.51,2.65,4.42,2.78,1.26,38.18,4.55,9.23,4.68,4.55
Ersan Ilyasova,9.14,0,0,17.2,6.99,20.43,1.63,13.98,6.35,21.51
Jonas Valanciunas,3.94,0,0,14.21,27.43,3.23,0,20.68,0,20.25
Marcus Thornton,12.7,4.6,25.4,0,0,28.57,6.6,4.4,10.32,3.4
Myles Turner,7.42,4.02,0,27.82,21.95,8.35,0,13.91,2.47,6.8
Hollis Thompson,19.14,1.65,6.59,0,0,39.67,11.28,4.56,8.24,4.18
Al-Farouq Aminu,17.91,3.78,8.45,4.0,2.11,37.37,6.01,5.12,5.01,5.78
Nerlens Noel,10.45,9.27,0,18.43,10.21,8.33,0,21.24,0,12.79
Sean Kilpatrick,21.52,3.64,19.21,0,0,41.38,3.64,6.62,8.28,0
Enes Kanter,8.84,1.49,0,20.23,18.96,5.11,0,16.72,0,21.73
Marcus Smart,16.84,4.69,18.16,0,6.15,25.18,5.86,4.98,2.93,6.73
Terrence Ross,13.77,6.03,11.76,0,0,34.29,5.45,0,23.67,0
Raymond Felton,8.64,10.23,45.0,0,0,22.27,2.61,1.82,2.27,0
Gerald Green,17.34,3.29,7.32,0,2.84,34.98,11.81,3.59,11.21,2.84
Dwight Howard,6.26,0,0,9.34,30.49,0,0,22.18,0,14.78
Jerryd Bayless,15.6,7.16,21.1,0,0,29.91,8.99,2.57,8.62,0
Patrick Beverley,20.11,7.99,19.01,1.93,0,36.5,2.62,0,0,3.44
Allen Crabbe,17.86,0,9.18,3.19,0,32.53,10.84,4.34,16.33,1.28
Shabazz Muhammad,20.21,5.23,6.85,0,9.87,20.67,4.18,9.06,10.45,9.41
Stanley Johnson,18.71,9.22,21.74,0,4.35,25.69,6.72,2.11,2.37,4.48
Gary Neal,13.83,6.12,24.47,0,0,25.27,9.84,0,14.1,0
Courtney Lee,17.0,5.53,17.0,0,0,39.53,7.11,3.95,5.93,2.24
Robin Lopez,2.53,1.49,0,12.97,29.16,3.79,0,18.6,0,22.5
Kelly Olynyk,13.89,2.92,0,19.44,7.31,24.85,4.97,7.46,5.7,6.58
Alex Len,4.47,2.52,0,11.34,29.55,9.05,0,19.7,1.83,12.71
Shelvin Mack,13.54,6.89,35.63,0,0,23.75,11.64,0,0,0
Doug McDermott,16.34,0,3.6,0,2.91,28.12,13.99,10.25,15.65,4.02
Luis Scola,13.62,0,0,18.44,15.46,29.36,0,7.8,0,8.23
Jameer Nelson,9.3,7.75,47.03,0,0,20.67,7.24,0,0,0
O.J. Mayo,17.8,3.9,15.12,0,2.44,26.34,10.98,2.93,8.78,0
Jerami Grant,16.05,11.86,2.67,10.47,5.7,24.88,2.79,12.56,2.44,6.05
Jeremy Lamb,11.89,6.87,24.29,0,0,18.76,5.86,8.04,15.91,4.69
Ricky Rubio,18.5,3.92,40.7,0,0,22.63,4.03,1.09,0,0
Austin Rivers,14.42,14.26,33.28,0,0,19.49,6.66,4.75,2.54,0
Kyle Korver,13.85,0,6.79,0,0,23.96,13.16,3.46,31.44,0
Rodney Stuckey,21.58,5.65,31.51,0,0,16.27,8.73,3.25,4.62,0
Patty Mills,13.64,2.25,28.41,0,0,24.33,7.74,4.92,12.24,0
