PLAYER_NAME,FT_AST,SECONDARY,POTENTIAL,PASSES,AST,AST_ADJ,AST_PCT,ADJ_AST_PCT
Brandon Jennings,0.4,0.6,7.3,35.4,3.5,4.5,0.1,0.13
Ian Mahinmi,0.2,0.4,3.2,31.8,1.5,2.1,0.05,0.07
Mason Plumlee,0.2,0.5,5.5,31.8,2.8,3.4,0.09,0.11
Jose Calderon,0.4,1.0,9.3,59.2,4.1,5.5,0.07,0.09
Patrick Patterson,0.2,0.5,2.2,34.3,1.2,1.8,0.03,0.05
Zaza Pachulia,0.1,0.5,3.6,31.0,1.7,2.4,0.05,0.08
PJ Hairston,0.1,0.2,1.4,12.8,0.6,0.9,0.05,0.07
David Lee,0.1,0.2,3.2,25.0,1.5,1.9,0.06,0.07
Luke Babbitt,0.0,0.2,2.0,18.7,1.1,1.4,0.06,0.07
Mike Dunleavy,0.1,0.6,3.1,22.4,1.3,2.0,0.06,0.09
Andrea Bargnani,0.0,0.2,0.7,15.7,0.4,0.6,0.03,0.04
Jared Dudley,0.3,0.5,3.9,37.9,2.1,2.9,0.06,0.08
Greivis Vasquez,0.5,0.9,7.8,38.5,4.0,5.3,0.1,0.14
Cody Zeller,0.1,0.5,2.3,19.5,1.0,1.6,0.05,0.08
Justise Winslow,0.2,0.6,3.2,31.7,1.5,2.3,0.05,0.07
Randy Foye,0.3,0.7,4.2,23.2,2.0,2.9,0.09,0.13
Paul Pierce,0.1,0.3,1.9,19.1,1.0,1.4,0.06,0.07
Devin Harris,0.2,0.5,3.5,23.3,1.8,2.5,0.08,0.11
Rudy Gobert,0.1,0.4,3.4,49.0,1.5,2.0,0.03,0.04
David West,0.2,0.3,3.3,22.4,1.8,2.3,0.08,0.11
TJ McConnell,0.5,0.6,9.4,47.3,4.5,5.6,0.1,0.12
Donald Sloan,0.3,0.8,8.6,44.0,4.4,5.5,0.1,0.13
Vince Carter,0.2,0.2,1.9,19.3,0.9,1.4,0.05,0.07
Kosta Koufos,0.1,0.1,1.2,17.0,0.4,0.6,0.03,0.04
D.J. Augustin,0.4,0.9,6.2,29.9,3.2,4.4,0.11,0.15
Andre Iguodala,0.4,1.1,5.8,32.4,3.4,4.9,0.1,0.15
Iman Shumpert,0.1,0.4,3.3,20.6,1.7,2.2,0.08,0.11
Andrew Nicholson,0.0,0.1,1.1,14.7,0.5,0.6,0.03,0.04
Kris Humphries,0.0,0.4,1.6,23.4,0.7,1.0,0.03,0.04
Donatas Motiejunas,0.1,0.3,2.1,20.2,1.1,1.5,0.06,0.07
Leandro Barbosa,0.2,0.6,2.4,16.0,1.2,2.0,0.08,0.13
Trey Lyles,0.1,0.1,2.0,27.6,0.7,1.0,0.03,0.04
Amir Johnson,0.2,0.6,3.3,32.7,1.7,2.5,0.05,0.08
Alexis Ajinca,0.1,0.2,1.1,18.3,0.5,0.8,0.03,0.04
Spencer Hawes,0.2,0.3,3.7,20.7,1.9,2.4,0.09,0.12
Ty Lawson,0.4,0.9,7.6,33.9,3.6,4.8,0.11,0.14
Mario Hezonja,0.2,0.4,2.9,17.0,1.4,1.9,0.08,0.11
Tony Snell,0.2,0.3,2.1,13.9,1.0,1.5,0.07,0.11
Charlie Villanueva,0.0,0.0,0.7,12.4,0.4,0.5,0.03,0.04
Steven Adams,0.1,0.5,1.7,37.1,0.8,1.3,0.02,0.03
Maurice Harkless,0.0,0.3,1.8,16.8,0.9,1.1,0.05,0.07
Josh Richardson,0.1,0.4,3.0,28.0,1.4,2.0,0.05,0.07
Willie Cauley-Stein,0.1,0.3,1.1,15.8,0.6,0.9,0.04,0.06
Dante Cunningham,0.1,0.3,1.6,20.6,1.0,1.4,0.05,0.07
Tim Hardaway Jr.,0.2,0.3,2.0,14.1,1.0,1.5,0.07,0.11
Jason Terry,0.2,0.3,2.8,21.0,1.4,2.0,0.07,0.09
Markel Brown,0.2,0.3,3.0,15.5,1.5,1.9,0.1,0.13
Raul Neto,0.2,0.4,4.0,32.6,2.1,2.8,0.07,0.09
Clint Capela,0.0,0.3,1.4,21.1,0.6,0.9,0.03,0.04
Jerian Grant,0.2,0.8,5.4,30.7,2.3,3.3,0.08,0.11
Seth Curry,0.1,0.3,2.7,16.6,1.6,2.0,0.09,0.12
John Henson,0.1,0.3,2.0,15.4,0.9,1.4,0.06,0.09
Tristan Thompson,0.1,0.3,1.5,28.3,0.8,1.1,0.03,0.04
Mike Scott,0.1,0.2,1.8,18.0,1.0,1.3,0.06,0.08
Metta World Peace,0.0,0.2,1.5,14.2,0.8,1.0,0.05,0.07
Boris Diaw,0.2,0.5,4.3,30.2,2.3,3.0,0.08,0.1
Roy Hibbert,0.1,0.1,2.5,22.4,1.2,1.4,0.05,0.06
Channing Frye,0.1,0.3,1.7,23.8,1.0,1.3,0.04,0.06
Thabo Sefolosha,0.1,0.5,2.7,28.9,1.4,2.0,0.05,0.07
Festus Ezeli,0.0,0.3,1.3,18.6,0.7,1.0,0.04,0.05
Trevor Booker,0.1,0.2,2.8,35.6,1.1,1.4,0.03,0.04
Anthony Morrow,0.0,0.0,0.7,6.8,0.4,0.4,0.05,0.07
Tyler Zeller,0.1,0.3,1.2,13.3,0.5,0.8,0.04,0.06
Shaun Livingston,0.3,1.1,5.7,33.1,3.0,4.5,0.09,0.14
Cameron Payne,0.1,0.3,3.7,20.3,1.9,2.3,0.09,0.11
Ronnie Price,0.3,0.7,5.5,35.2,2.4,3.4,0.07,0.1
Brandon Bass,0.1,0.2,2.3,19.0,1.1,1.4,0.06,0.07
Norman Powell,0.1,0.1,1.7,12.4,1.0,1.2,0.08,0.1
Larry Nance Jr.,0.1,0.2,1.7,27.4,0.7,1.0,0.03,0.04
Rondae Hollis-Jefferson,0.1,0.4,3.1,21.7,1.5,2.0,0.07,0.09
Tyson Chandler,0.2,0.4,2.5,33.5,1.0,1.5,0.03,0.05
Timofey Mozgov,0.0,0.1,1.1,17.8,0.4,0.6,0.02,0.03
Aron Baynes,0.0,0.2,1.5,11.8,0.6,0.9,0.05,0.08
Lavoy Allen,0.2,0.4,2.1,26.3,1.0,1.6,0.04,0.06
Anthony Tolliver,0.1,0.2,1.8,24.2,0.7,1.0,0.03,0.04
Joakim Noah,0.1,0.7,7.0,44.9,3.8,4.6,0.08,0.1
Chris McCullough,0.0,0.2,0.8,16.6,0.4,0.6,0.02,0.04
Sasha Vujacic,0.2,0.5,3.3,22.4,1.4,2.1,0.06,0.09
Beno Udrih,0.3,0.7,5.5,32.7,2.6,3.6,0.08,0.11
Jonathon Simmons,0.1,0.3,2.1,15.9,1.1,1.5,0.07,0.09
Richaun Holmes,0.0,0.1,1.1,15.9,0.6,0.7,0.04,0.05
Troy Daniels,0.0,0.0,1.0,9.3,0.5,0.6,0.05,0.06
Marcelo Huertas,0.4,0.5,6.4,29.6,3.4,4.3,0.12,0.15
JaKarr Sampson,0.0,0.2,1.3,11.5,0.6,0.9,0.06,0.08
Justin Holiday,0.2,0.3,1.7,11.1,1.1,1.5,0.1,0.14
Tyus Jones,0.1,0.8,6.0,29.1,2.9,3.8,0.1,0.13
Anthony Brown,0.0,0.3,1.6,16.6,0.7,1.0,0.04,0.06
Jarell Martin,0.0,0.1,1.1,15.4,0.6,0.7,0.04,0.05
Tiago Splitter,0.1,0.3,1.6,16.4,0.8,1.2,0.05,0.07
Dwight Powell,0.1,0.1,1.5,20.7,0.6,0.8,0.03,0.04
Amar'e Stoudemire,0.0,0.1,1.0,13.2,0.5,0.7,0.04,0.05
Kevin Seraphin,0.2,0.2,1.8,16.4,1.0,1.3,0.06,0.08
James Johnson,0.2,0.2,2.1,13.0,1.2,1.5,0.09,0.12
Richard Jefferson,0.1,0.3,1.7,14.8,0.8,1.2,0.05,0.08
Kyle O'Quinn,0.1,0.2,2.1,21.3,1.1,1.4,0.05,0.07
CJ Watson,0.3,0.8,5.3,29.8,2.7,3.7,0.09,0.13
Steve Blake,0.5,0.9,7.1,35.0,3.4,4.8,0.1,0.14
Ryan Kelly,0.1,0.1,1.1,15.3,0.6,0.7,0.04,0.05
Thomas Robinson,0.0,0.1,1.0,17.6,0.6,0.8,0.04,0.05
Ed Davis,0.1,0.3,2.3,26.5,1.1,1.5,0.04,0.06
Tyler Ennis,0.2,0.6,4.0,24.8,2.1,2.9,0.08,0.12
Andrew Bogut,0.1,0.7,4.3,30.4,2.3,3.2,0.08,0.1
JaVale McGee,0.0,0.1,0.4,10.7,0.1,0.2,0.01,0.02
Andre Roberson,0.1,0.2,1.6,12.6,0.7,1.0,0.05,0.08
Nemanja Bjelica,0.1,0.4,2.9,31.4,1.4,1.9,0.04,0.06
Kendall Marshall,0.3,0.6,5.1,23.8,2.4,3.4,0.1,0.14
Miles Plumlee,0.0,0.2,1.0,13.9,0.3,0.5,0.02,0.03
Kyle Anderson,0.2,0.5,2.8,21.8,1.6,2.2,0.07,0.1
Rashad Vaughn,0.0,0.1,0.9,8.1,0.6,0.7,0.07,0.09
Cole Aldrich,0.0,0.1,1.7,21.2,0.8,1.0,0.04,0.05
John Jenkins,0.0,0.2,1.9,9.8,0.8,1.0,0.08,0.11
Jonas Jerebko,0.1,0.4,1.8,20.9,0.8,1.3,0.04,0.06
Shabazz Napier,0.1,0.4,3.9,19.1,1.8,2.3,0.09,0.12
Quincy Acy,0.0,0.1,1.0,14.5,0.5,0.6,0.03,0.04
Brandon Rush,0.1,0.5,1.5,14.3,0.8,1.3,0.06,0.09
Joe Ingles,0.3,0.2,2.5,20.4,1.2,1.6,0.06,0.08
Noah Vonleh,0.1,0.1,1.0,17.8,0.4,0.6,0.02,0.03
Josh McRoberts,0.2,0.3,3.8,23.8,1.9,2.4,0.08,0.1
Solomon Hill,0.2,0.3,2.1,16.9,1.0,1.4,0.06,0.08
James Anderson,0.1,0.3,1.9,10.6,0.8,1.2,0.08,0.11
Bismack Biyombo,0.1,0.2,0.9,23.3,0.3,0.6,0.02,0.03
Alonzo Gee,0.1,0.3,1.8,16.5,1.0,1.4,0.06,0.08
Darrun Hilliard,0.1,0.2,1.5,7.5,0.7,0.9,0.09,0.13
Drew Gooden,0.1,0.2,1.0,13.9,0.4,0.7,0.03,0.05
Willie Reed,0.0,0.1,0.5,8.6,0.3,0.4,0.03,0.05
Glenn Robinson,0.1,0.2,1.3,10.3,0.6,0.8,0.06,0.08
Kelly Oubre,0.0,0.2,0.5,8.0,0.2,0.4,0.03,0.05
Axel Toupane,0.1,0.2,1.1,10.4,0.7,1.1,0.07,0.11
Kyle Singler,0.0,0.1,0.8,9.1,0.4,0.5,0.04,0.06
Jeff Withey,0.0,0.1,1.0,18.1,0.4,0.5,0.02,0.03
Johnny O'Bryant,0.1,0.1,1.0,15.5,0.5,0.6,0.03,0.04
Justin Anderson,0.1,0.1,1.1,12.9,0.5,0.7,0.04,0.06
Kevin Garnett,0.1,0.3,2.7,26.4,1.6,2.1,0.06,0.08
Dewayne Dedmon,0.0,0.1,0.7,11.4,0.2,0.3,0.02,0.03
Robert Sacre,0.0,0.2,1.1,12.5,0.6,0.8,0.05,0.06
Tayshaun Prince,0.1,0.3,1.9,15.5,1.0,1.3,0.06,0.08
Omer Asik,0.0,0.1,0.9,23.3,0.4,0.6,0.02,0.02
Kirk Hinrich,0.1,0.6,2.9,20.2,1.6,2.3,0.08,0.11
Luc Mbah a Moute,0.1,0.2,0.9,10.9,0.4,0.7,0.04,0.06
Chris Johnson,0.1,0.2,1.3,10.6,0.6,0.9,0.06,0.08
Tarik Black,0.0,0.1,1.0,14.5,0.4,0.5,0.03,0.03
Reggie Bullock,0.0,0.1,1.4,12.8,0.7,0.9,0.06,0.07
Andre Miller,0.2,0.5,4.2,22.3,2.2,2.9,0.1,0.13
Kostas Papanikolaou,0.0,0.4,1.7,11.8,0.6,1.1,0.05,0.09
Sonny Weems,0.1,0.1,2.6,12.2,1.1,1.4,0.09,0.12
Pablo Prigioni,0.1,0.5,4.4,26.5,2.2,2.9,0.08,0.11
Cristiano Felicio,0.0,0.3,1.6,17.0,0.8,1.1,0.05,0.07
Salah Mejri,0.1,0.1,0.8,12.1,0.3,0.5,0.02,0.04
Lamar Patterson,0.1,0.1,1.9,12.6,1.1,1.3,0.09,0.1
Kendrick Perkins,0.1,0.3,1.5,19.5,0.8,1.2,0.04,0.06
Nick Collison,0.1,0.1,1.9,12.6,0.9,1.1,0.07,0.09
Sergey Karasev,0.1,0.2,1.5,9.7,0.9,1.2,0.09,0.12
