Jean-Pascal Mignot,Saint Etienne,2011-2012,"defensive_3,passing_2,control_1,attack_2",0.1(0.023255813953488375),0.1(0.023255813953488375),0.1(0.02777777777777778),0.0(0.0),0.1(0.019607843137254905)
Banel Nicolita,Saint Etienne,2011-2012,"defensive_5,passing_4,control_0,attack_5",0.7(0.1627906976744186),1.4(0.3255813953488372),0.2(0.05555555555555556),0.2(0.25),1.5(0.29411764705882354)
Josuha Guilavogui,Saint Etienne,2011-2012,"defensive_5,passing_3,control_4,attack_1",0.5(0.11627906976744186),0.6(0.13953488372093023),0.2(0.05555555555555556),0.0(0.0),0.8(0.15686274509803924)
Loris Nery,Saint Etienne,2010-2011,"defensive_5,passing_5,control_4,attack_2",0.0(0.0),0.2(0.04651162790697675),0.2(0.05555555555555556),0.0(0.0),0.1(0.019607843137254905)
Christophe Landrin,Saint Etienne,2010-2011,"defensive_1,passing_0,control_4,attack_1",0.7(0.1627906976744186),0.3(0.06976744186046512),0.0(0.0),0.1(0.125),0.7(0.13725490196078433)
Dimitri Payet,Saint Etienne,2010-2011,"defensive_1,passing_4,control_0,attack_4",1.9(0.4418604651162791),1.2(0.27906976744186046),0.1(0.02777777777777778),0.2(0.25),2.4(0.47058823529411764)
Sylvain Monsoreau,Saint Etienne,2010-2011,"defensive_3,passing_2,control_1,attack_2",0.1(0.023255813953488375),0.2(0.04651162790697675),0.1(0.02777777777777778),0.0(0.0),0.0(0.0)
Sylvain Marchal,Saint Etienne,2010-2011,"defensive_3,passing_2,control_2,attack_2",0.0(0.0),0.3(0.06976744186046512),0.2(0.05555555555555556),0.0(0.0),0.1(0.019607843137254905)
Albin Ebondo,Saint Etienne,2010-2011,"defensive_5,passing_5,control_1,attack_2",0.3(0.06976744186046512),0.3(0.06976744186046512),0.0(0.0),0.0(0.0),0.3(0.058823529411764705)
Jérémie Janot,Saint Etienne,2010-2011,"defensive_1,passing_1,control_1,attack_2",0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0)
Blaise Matuidi,Saint Etienne,2010-2011,"defensive_5,passing_3,control_4,attack_2",0.5(0.11627906976744186),0.3(0.06976744186046512),0.0(0.0),0.0(0.0),0.5(0.09803921568627452)
Faouzi Ghoulam,Saint Etienne,2010-2011,"defensive_2,passing_4,control_4,attack_2",0.4(0.0930232558139535),0.2(0.04651162790697675),0.0(0.0),0.0(0.0),0.3(0.058823529411764705)
Pierre-Emerick Aubameyang,Saint Etienne,2010-2011,"defensive_1,passing_5,control_4,attack_0",1.0(0.23255813953488372),1.6(0.372093023255814),0.3(0.08333333333333333),0.8(1.0),1.4(0.27450980392156865)
Bakary Sako,Saint Etienne,2010-2011,"defensive_1,passing_5,control_0,attack_4",1.6(0.372093023255814),0.9(0.20930232558139536),0.1(0.02777777777777778),0.1(0.125),1.4(0.27450980392156865)
Carlos Bocanegra,Saint Etienne,2010-2011,"defensive_2,passing_2,control_1,attack_3",0.1(0.023255813953488375),0.3(0.06976744186046512),0.3(0.08333333333333333),0.0(0.0),0.0(0.0)
Laurent Batlles,Saint Etienne,2010-2011,"defensive_5,passing_0,control_4,attack_5",0.4(0.0930232558139535),1.1(0.2558139534883721),0.3(0.08333333333333333),0.2(0.25),1.1(0.21568627450980396)
Loic Perrin,Saint Etienne,2010-2011,"defensive_5,passing_5,control_4,attack_3",0.4(0.0930232558139535),0.8(0.186046511627907),0.3(0.08333333333333333),0.0(0.0),0.6(0.11764705882352941)
Alejandro Alonso,Saint Etienne,2010-2011,"defensive_5,passing_5,control_0,attack_5",0.5(0.11627906976744186),1.1(0.2558139534883721),0.2(0.05555555555555556),0.1(0.125),1.2(0.23529411764705882)
Moustapha Bayal Sall,Saint Etienne,2010-2011,"defensive_3,passing_2,control_1,attack_2",0.0(0.0),0.3(0.06976744186046512),0.2(0.05555555555555556),0.0(0.0),0.0(0.0)
Josuha Guilavogui,Saint Etienne,2010-2011,"defensive_5,passing_2,control_4,attack_3",0.3(0.06976744186046512),0.4(0.0930232558139535),0.2(0.05555555555555556),0.1(0.125),0.3(0.058823529411764705)
Emmanuel Rivière,Saint Etienne,2010-2011,"defensive_1,passing_5,control_4,attack_5",0.2(0.04651162790697675),1.7(0.3953488372093023),0.7(0.19444444444444442),0.2(0.25),1.7(0.33333333333333337)
Pierre-Yves Polomat,Saint Etienne,2015-2016,"defensive_4,passing_2,control_1,attack_2",0.4(0.0930232558139535),0.1(0.023255813953488375),0.0(0.0),0.0(0.0),0.2(0.03921568627450981)
Kevin Malcuit,Saint Etienne,2015-2016,"defensive_5,passing_5,control_4,attack_2",0.1(0.023255813953488375),0.1(0.023255813953488375),0.0(0.0),0.0(0.0),0.1(0.019607843137254905)
Vincent Pajot,Saint Etienne,2015-2016,"defensive_4,passing_2,control_2,attack_1",0.8(0.186046511627907),0.5(0.11627906976744186),0.4(0.11111111111111112),0.0(0.0),1.0(0.19607843137254904)
Valentin Eysseric,Saint Etienne,2015-2016,"defensive_0,passing_4,control_0,attack_1",1.4(0.3255813953488372),0.5(0.11627906976744186),0.0(0.0),0.0(0.0),1.2(0.23529411764705882)
Romain Hamouma,Saint Etienne,2015-2016,"defensive_0,passing_0,control_0,attack_1",1.2(0.27906976744186046),0.7(0.1627906976744186),0.1(0.02777777777777778),0.0(0.0),1.4(0.27450980392156865)
Nolan Roux,Saint Etienne,2015-2016,"defensive_0,passing_5,control_4,attack_5",0.5(0.11627906976744186),1.8(0.4186046511627907),0.7(0.19444444444444442),0.0(0.0),2.1(0.411764705882353)
Benoit Assou-Ekotto,Saint Etienne,2015-2016,"defensive_0,passing_2,control_4,attack_2",0.5(0.11627906976744186),0.1(0.023255813953488375),0.0(0.0),0.0(0.0),0.3(0.058823529411764705)
Fabien Lemoine,Saint Etienne,2015-2016,"defensive_4,passing_3,control_4,attack_2",0.6(0.13953488372093023),0.1(0.023255813953488375),0.0(0.0),0.0(0.0),0.4(0.07843137254901962)
Kévin Monnet-Paquet,Saint Etienne,2015-2016,"defensive_0,passing_5,control_0,attack_5",0.7(0.1627906976744186),1.0(0.23255813953488372),0.3(0.08333333333333333),0.0(0.0),1.6(0.3137254901960785)
Loic Perrin,Saint Etienne,2015-2016,"defensive_2,passing_2,control_2,attack_3",0.0(0.0),0.6(0.13953488372093023),0.5(0.1388888888888889),0.0(0.0),0.1(0.019607843137254905)
Jérémy Clément,Saint Etienne,2015-2016,"defensive_4,passing_2,control_1,attack_2",0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0)
Francois Clerc,Saint Etienne,2015-2016,"defensive_4,passing_2,control_2,attack_2",0.2(0.04651162790697675),0.2(0.04651162790697675),0.0(0.0),0.0(0.0),0.3(0.058823529411764705)
Alexander Søderlund,Saint Etienne,2015-2016,"defensive_0,passing_5,control_4,attack_5",0.2(0.04651162790697675),1.8(0.4186046511627907),0.6(0.16666666666666666),0.0(0.0),1.6(0.3137254901960785)
Jean-Christophe Bahebeck,Saint Etienne,2015-2016,"defensive_0,passing_5,control_0,attack_4",1.6(0.372093023255814),1.2(0.27906976744186046),0.4(0.11111111111111112),0.0(0.0),2.2(0.4313725490196079)
Moustapha Bayal Sall,Saint Etienne,2015-2016,"defensive_2,passing_2,control_1,attack_3",0.1(0.023255813953488375),0.4(0.0930232558139535),0.4(0.11111111111111112),0.0(0.0),0.1(0.019607843137254905)
Kévin Théophile-Catherine,Saint Etienne,2015-2016,"defensive_2,passing_5,control_4,attack_2",0.2(0.04651162790697675),0.0(0.0),0.0(0.0),0.0(0.0),0.1(0.019607843137254905)
Florentin Pogba,Saint Etienne,2015-2016,"defensive_2,passing_2,control_2,attack_2",0.2(0.04651162790697675),0.2(0.04651162790697675),0.1(0.02777777777777778),0.0(0.0),0.0(0.0)
Stéphane Ruffier,Saint Etienne,2015-2016,"defensive_1,passing_1,control_1,attack_2",0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0)
Renaud Cohade,Saint Etienne,2015-2016,"defensive_4,passing_4,control_4,attack_1",0.7(0.1627906976744186),0.2(0.04651162790697675),0.2(0.05555555555555556),0.0(0.0),0.5(0.09803921568627452)
Alexander Tettey,Rennes,2009-2010,"defensive_5,passing_2,control_1,attack_1",0.6(0.13953488372093023),0.2(0.04651162790697675),0.0(0.0),0.0(0.0),0.6(0.11764705882352941)
Moussa Sow,Rennes,2009-2010,"defensive_1,passing_5,control_3,attack_0",1.4(0.3255813953488372),2.1(0.48837209302325585),0.6(0.16666666666666666),0.3(0.37499999999999994),3.1(0.607843137254902)
Jimmy Briand,Rennes,2009-2010,"defensive_1,passing_0,control_3,attack_5",0.6(0.13953488372093023),1.7(0.3953488372093023),0.6(0.16666666666666666),0.1(0.125),1.9(0.37254901960784315)
Romain Danze,Rennes,2009-2010,"defensive_5,passing_2,control_1,attack_2",0.0(0.0),0.3(0.06976744186046512),0.2(0.05555555555555556),0.0(0.0),0.1(0.019607843137254905)
Jerome Leroy,Rennes,2009-2010,"defensive_1,passing_0,control_3,attack_1",0.7(0.1627906976744186),0.9(0.20930232558139536),0.1(0.02777777777777778),0.0(0.0),1.2(0.23529411764705882)
Ismael Bangoura,Rennes,2009-2010,"defensive_5,passing_5,control_3,attack_4",1.7(0.3953488372093023),1.7(0.3953488372093023),0.1(0.02777777777777778),0.1(0.125),3.0(0.5882352941176471)
Kader Mangane,Rennes,2009-2010,"defensive_3,passing_2,control_1,attack_3",0.0(0.0),0.4(0.0930232558139535),0.3(0.08333333333333333),0.0(0.0),0.2(0.03921568627450981)
Rod Fanni,Rennes,2009-2010,"defensive_2,passing_5,control_2,attack_2",0.1(0.023255813953488375),0.2(0.04651162790697675),0.1(0.02777777777777778),0.0(0.0),0.1(0.019607843137254905)
Nicolas Douchez,Rennes,2009-2010,"defensive_1,passing_1,control_1,attack_2",0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0)
Fabien Lemoine,Rennes,2009-2010,"defensive_5,passing_3,control_1,attack_1",1.2(0.27906976744186046),0.2(0.04651162790697675),0.0(0.0),0.0(0.0),1.1(0.21568627450980396)
Sylvain Marveaux,Rennes,2009-2010,"defensive_1,passing_4,control_3,attack_4",1.3(0.3023255813953489),1.0(0.23255813953488372),0.1(0.02777777777777778),0.1(0.125),1.6(0.3137254901960785)
Yann M'Vila,Rennes,2009-2010,"defensive_5,passing_2,control_2,attack_2",0.4(0.0930232558139535),0.0(0.0),0.0(0.0),0.0(0.0),0.3(0.058823529411764705)
Asamoah Gyan,Rennes,2009-2010,"defensive_1,passing_0,control_3,attack_0",1.3(0.3023255813953489),2.3(0.5348837209302325),0.9(0.25),0.4(0.5),2.7(0.5294117647058825)
Carlos Bocanegra,Rennes,2009-2010,"defensive_2,passing_5,control_1,attack_2",0.0(0.0),0.1(0.023255813953488375),0.2(0.05555555555555556),0.0(0.0),0.0(0.0)
Petter Hansson,Rennes,2009-2010,"defensive_3,passing_2,control_2,attack_3",0.0(0.0),0.3(0.06976744186046512),0.3(0.08333333333333333),0.0(0.0),0.1(0.019607843137254905)
Cheikh M'Bengue,Rennes,2013-2014,"defensive_2,passing_5,control_4,attack_2",0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0),0.1(0.019607843137254905)
Romain Alessandrini,Rennes,2013-2014,"defensive_0,passing_5,control_0,attack_4",1.6(0.372093023255814),1.2(0.27906976744186046),0.0(0.0),0.0(0.0),1.8(0.35294117647058826)
Vincent Pajot,Rennes,2013-2014,"defensive_4,passing_5,control_4,attack_1",0.4(0.0930232558139535),0.4(0.0930232558139535),0.3(0.08333333333333333),0.0(0.0),0.8(0.15686274509803924)
John Boye,Rennes,2013-2014,"defensive_3,passing_2,control_2,attack_2",0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0)
Cédric Hountondji,Rennes,2013-2014,"defensive_3,passing_2,control_1,attack_2",0.0(0.0),0.1(0.023255813953488375),0.1(0.02777777777777778),0.0(0.0),0.0(0.0)
Romain Danze,Rennes,2013-2014,"defensive_2,passing_2,control_1,attack_2",0.1(0.023255813953488375),0.0(0.0),0.0(0.0),0.0(0.0),0.1(0.019607843137254905)
Sylvain Armand,Rennes,2013-2014,"defensive_3,passing_2,control_1,attack_2",0.1(0.023255813953488375),0.2(0.04651162790697675),0.1(0.02777777777777778),0.0(0.0),0.1(0.019607843137254905)
Jean-Armel Kana-Biyik,Rennes,2013-2014,"defensive_3,passing_2,control_2,attack_2",0.0(0.0),0.4(0.0930232558139535),0.1(0.02777777777777778),0.0(0.0),0.1(0.019607843137254905)
Kamil Grosicki,Rennes,2013-2014,"defensive_0,passing_0,control_0,attack_1",1.0(0.23255813953488372),1.0(0.23255813953488372),0.0(0.0),0.1(0.125),1.5(0.29411764705882354)
Anders Konradsen,Rennes,2013-2014,"defensive_4,passing_2,control_4,attack_1",0.7(0.1627906976744186),0.2(0.04651162790697675),0.0(0.0),0.0(0.0),0.5(0.09803921568627452)
Tiemoué Bakayoko,Rennes,2013-2014,"defensive_2,passing_2,control_3,attack_2",0.4(0.0930232558139535),0.3(0.06976744186046512),0.2(0.05555555555555556),0.0(0.0),0.5(0.09803921568627452)
Benoit Costil,Rennes,2013-2014,"defensive_1,passing_1,control_1,attack_2",0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0)
Foued Kadir,Rennes,2013-2014,"defensive_0,passing_5,control_0,attack_5",0.6(0.13953488372093023),1.4(0.3255813953488372),0.0(0.0),0.0(0.0),1.6(0.3137254901960785)
Abdoulaye Doucouré,Rennes,2013-2014,"defensive_0,passing_0,control_4,attack_5",0.5(0.11627906976744186),1.6(0.372093023255814),0.3(0.08333333333333333),0.1(0.125),1.6(0.3137254901960785)
Julien Féret,Rennes,2013-2014,"defensive_1,passing_0,control_4,attack_1",0.6(0.13953488372093023),0.4(0.0930232558139535),0.0(0.0),0.0(0.0),1.0(0.19607843137254904)
Jonathan Pitroipa,Rennes,2013-2014,"defensive_0,passing_0,control_0,attack_1",0.5(0.11627906976744186),0.9(0.20930232558139536),0.0(0.0),0.0(0.0),1.1(0.21568627450980396)
Steven Moreira,Rennes,2013-2014,"defensive_4,passing_2,control_4,attack_2",0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0)
Nélson Oliveira,Rennes,2013-2014,"defensive_1,passing_5,control_0,attack_4",1.3(0.3023255813953489),1.8(0.4186046511627907),0.2(0.05555555555555556),0.1(0.125),2.5(0.4901960784313726)
Jean Makoun,Rennes,2013-2014,"defensive_4,passing_3,control_4,attack_2",0.1(0.023255813953488375),0.3(0.06976744186046512),0.1(0.02777777777777778),0.1(0.125),0.2(0.03921568627450981)
Ola Toivonen,Rennes,2013-2014,"defensive_1,passing_5,control_2,attack_5",0.5(0.11627906976744186),1.5(0.3488372093023256),0.3(0.08333333333333333),0.1(0.125),1.8(0.35294117647058826)
Adama Diakhaby,Rennes,2016-2017,"defensive_4,passing_5,control_0,attack_4",1.4(0.3255813953488372),1.6(0.372093023255814),0.6(0.16666666666666666),0.0(0.0),2.5(0.4901960784313726)
Romain Danze,Rennes,2016-2017,"defensive_2,passing_2,control_1,attack_2",0.1(0.023255813953488375),0.1(0.023255813953488375),0.0(0.0),0.0(0.0),0.2(0.03921568627450981)
Giovanni Sio,Rennes,2016-2017,"defensive_0,passing_5,control_5,attack_5",0.9(0.20930232558139536),1.7(0.3953488372093023),0.5(0.1388888888888889),0.0(0.0),2.2(0.4313725490196079)
Adrien Hunou,Rennes,2016-2017,"defensive_0,passing_5,control_4,attack_5",0.5(0.11627906976744186),1.6(0.372093023255814),0.3(0.08333333333333333),0.2(0.25),1.7(0.33333333333333337)
Paul-Georges Ntep,Rennes,2016-2017,"defensive_0,passing_0,control_0,attack_4",1.4(0.3255813953488372),1.0(0.23255813953488372),0.4(0.11111111111111112),0.0(0.0),1.8(0.35294117647058826)
Pedro Mendes,Rennes,2016-2017,"defensive_2,passing_2,control_2,attack_2",0.2(0.04651162790697675),0.2(0.04651162790697675),0.0(0.0),0.0(0.0),0.2(0.03921568627450981)
Firmin Ndombe Mubele,Rennes,2016-2017,"defensive_0,passing_5,control_0,attack_5",0.6(0.13953488372093023),1.5(0.3488372093023256),0.2(0.05555555555555556),0.0(0.0),1.9(0.37254901960784315)
Kamil Grosicki,Rennes,2016-2017,"defensive_1,passing_4,control_4,attack_5",1.1(0.2558139534883721),1.7(0.3953488372093023),0.1(0.02777777777777778),0.0(0.0),2.4(0.47058823529411764)
Ramy Bensebaini,Rennes,2016-2017,"defensive_4,passing_2,control_2,attack_2",0.5(0.11627906976744186),0.3(0.06976744186046512),0.2(0.05555555555555556),0.0(0.0),0.4(0.07843137254901962)
Benoit Costil,Rennes,2016-2017,"defensive_1,passing_1,control_1,attack_2",0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0)
Wesley Said,Rennes,2016-2017,"defensive_0,passing_5,control_0,attack_5",0.7(0.1627906976744186),2.1(0.48837209302325585),0.0(0.0),0.0(0.0),2.3(0.45098039215686275)
Ludovic Baal,Rennes,2016-2017,"defensive_4,passing_5,control_4,attack_2",0.1(0.023255813953488375),0.1(0.023255813953488375),0.1(0.02777777777777778),0.0(0.0),0.1(0.019607843137254905)
Gelson Fernandes,Rennes,2016-2017,"defensive_4,passing_2,control_1,attack_2",0.1(0.023255813953488375),0.0(0.0),0.0(0.0),0.0(0.0),0.1(0.019607843137254905)
Yoann Gourcuff,Rennes,2016-2017,"defensive_0,passing_0,control_0,attack_1",1.0(0.23255813953488372),0.4(0.0930232558139535),0.2(0.05555555555555556),0.0(0.0),1.0(0.19607843137254904)
Mexer,Rennes,2016-2017,"defensive_3,passing_2,control_2,attack_2",0.0(0.0),0.1(0.023255813953488375),0.1(0.02777777777777778),0.0(0.0),0.0(0.0)
Sanjin Prcic,Rennes,2016-2017,"defensive_4,passing_3,control_1,attack_1",1.1(0.2558139534883721),0.2(0.04651162790697675),0.0(0.0),0.0(0.0),1.0(0.19607843137254904)
Joris Gnagnon,Rennes,2016-2017,"defensive_2,passing_2,control_2,attack_3",0.0(0.0),0.7(0.1627906976744186),0.7(0.19444444444444442),0.0(0.0),0.0(0.0)
Benjamin André,Rennes,2016-2017,"defensive_4,passing_3,control_5,attack_2",0.3(0.06976744186046512),0.4(0.0930232558139535),0.1(0.02777777777777778),0.0(0.0),0.5(0.09803921568627452)
Cheikh M'Bengue,Rennes,2014-2015,"defensive_2,passing_2,control_2,attack_2",0.1(0.023255813953488375),0.1(0.023255813953488375),0.0(0.0),0.0(0.0),0.2(0.03921568627450981)
Vincent Pajot,Rennes,2014-2015,"defensive_4,passing_2,control_5,attack_2",0.4(0.0930232558139535),0.2(0.04651162790697675),0.1(0.02777777777777778),0.0(0.0),0.4(0.07843137254901962)
Romain Danze,Rennes,2014-2015,"defensive_2,passing_2,control_1,attack_2",0.1(0.023255813953488375),0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0)
Mouhamadou Habib Habibou,Rennes,2014-2015,"defensive_0,passing_5,control_5,attack_5",0.4(0.0930232558139535),1.2(0.27906976744186046),0.4(0.11111111111111112),0.2(0.25),1.4(0.27450980392156865)
Sylvain Armand,Rennes,2014-2015,"defensive_3,passing_3,control_1,attack_2",0.2(0.04651162790697675),0.1(0.023255813953488375),0.1(0.02777777777777778),0.0(0.0),0.1(0.019607843137254905)
Paul-Georges Ntep,Rennes,2014-2015,"defensive_0,passing_0,control_0,attack_5",0.7(0.1627906976744186),1.3(0.3023255813953489),0.2(0.05555555555555556),0.2(0.25),1.5(0.29411764705882354)
Fallou Diagne,Rennes,2014-2015,"defensive_3,passing_2,control_2,attack_3",0.1(0.023255813953488375),0.4(0.0930232558139535),0.4(0.11111111111111112),0.0(0.0),0.1(0.019607843137254905)
Kamil Grosicki,Rennes,2014-2015,"defensive_1,passing_0,control_0,attack_5",1.0(0.23255813953488372),1.1(0.2558139534883721),0.1(0.02777777777777778),0.3(0.37499999999999994),1.8(0.35294117647058826)
Anders Konradsen,Rennes,2014-2015,"defensive_4,passing_2,control_4,attack_1",0.8(0.186046511627907),0.4(0.0930232558139535),0.3(0.08333333333333333),0.0(0.0),0.9(0.17647058823529413)
Pedro Henrique,Rennes,2014-2015,"defensive_0,passing_5,control_0,attack_5",0.9(0.20930232558139536),1.0(0.23255813953488372),0.5(0.1388888888888889),0.0(0.0),1.7(0.33333333333333337)
Benoit Costil,Rennes,2014-2015,"defensive_1,passing_1,control_1,attack_2",0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0)
Gelson Fernandes,Rennes,2014-2015,"defensive_4,passing_2,control_1,attack_2",0.1(0.023255813953488375),0.0(0.0),0.0(0.0),0.0(0.0),0.1(0.019607843137254905)
Abdoulaye Doucouré,Rennes,2014-2015,"defensive_0,passing_0,control_4,attack_5",0.6(0.13953488372093023),1.2(0.27906976744186046),0.2(0.05555555555555556),0.1(0.125),1.4(0.27450980392156865)
Mexer,Rennes,2014-2015,"defensive_3,passing_2,control_2,attack_3",0.1(0.023255813953488375),0.3(0.06976744186046512),0.3(0.08333333333333333),0.0(0.0),0.1(0.019607843137254905)
Steven Moreira,Rennes,2014-2015,"defensive_0,passing_5,control_4,attack_2",0.3(0.06976744186046512),0.0(0.0),0.0(0.0),0.0(0.0),0.3(0.058823529411764705)
Ola Toivonen,Rennes,2014-2015,"defensive_1,passing_5,control_4,attack_5",0.5(0.11627906976744186),1.4(0.3255813953488372),0.5(0.1388888888888889),0.1(0.125),1.4(0.27450980392156865)
Benjamin André,Rennes,2014-2015,"defensive_4,passing_3,control_5,attack_2",0.4(0.0930232558139535),0.1(0.023255813953488375),0.0(0.0),0.0(0.0),0.5(0.09803921568627452)
Chris Mavinga,Rennes,2012-2013,"defensive_2,passing_5,control_2,attack_2",0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0),0.1(0.019607843137254905)
Dimitri Foulquier,Rennes,2012-2013,"defensive_2,passing_2,control_4,attack_2",0.1(0.023255813953488375),0.1(0.023255813953488375),0.0(0.0),0.1(0.125),0.1(0.019607843137254905)
Vincent Pajot,Rennes,2012-2013,"defensive_5,passing_2,control_2,attack_2",0.4(0.0930232558139535),0.1(0.023255813953488375),0.0(0.0),0.0(0.0),0.4(0.07843137254901962)
John Boye,Rennes,2012-2013,"defensive_3,passing_2,control_2,attack_3",0.0(0.0),0.4(0.0930232558139535),0.3(0.08333333333333333),0.0(0.0),0.1(0.019607843137254905)
Mevlüt Erdinc,Rennes,2012-2013,"defensive_1,passing_5,control_5,attack_0",0.7(0.1627906976744186),2.4(0.5581395348837209),0.8(0.22222222222222224),0.2(0.25),2.4(0.47058823529411764)
Romain Danze,Rennes,2012-2013,"defensive_2,passing_5,control_2,attack_2",0.3(0.06976744186046512),0.3(0.06976744186046512),0.1(0.02777777777777778),0.0(0.0),0.6(0.11764705882352941)
Alou Diarra,Rennes,2012-2013,"defensive_5,passing_2,control_2,attack_3",0.1(0.023255813953488375),0.4(0.0930232558139535),0.4(0.11111111111111112),0.0(0.0),0.1(0.019607843137254905)
Romain Alessandrini,Rennes,2012-2013,"defensive_5,passing_4,control_0,attack_4",2.6(0.6046511627906977),1.3(0.3023255813953489),0.2(0.05555555555555556),0.3(0.37499999999999994),2.4(0.47058823529411764)
Jean-Armel Kana-Biyik,Rennes,2012-2013,"defensive_3,passing_2,control_1,attack_2",0.0(0.0),0.3(0.06976744186046512),0.1(0.02777777777777778),0.0(0.0),0.1(0.019607843137254905)
Benoit Costil,Rennes,2012-2013,"defensive_1,passing_1,control_1,attack_2",0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0)
Yann M'Vila,Rennes,2012-2013,"defensive_2,passing_3,control_2,attack_2",0.4(0.0930232558139535),0.0(0.0),0.0(0.0),0.1(0.125),0.3(0.058823529411764705)
Kévin Théophile-Catherine,Rennes,2012-2013,"defensive_2,passing_5,control_4,attack_2",0.2(0.04651162790697675),0.2(0.04651162790697675),0.1(0.02777777777777778),0.0(0.0),0.2(0.03921568627450981)
Julien Féret,Rennes,2012-2013,"defensive_1,passing_4,control_0,attack_1",1.0(0.23255813953488372),0.9(0.20930232558139536),0.1(0.02777777777777778),0.1(0.125),1.3(0.25490196078431376)
Jonathan Pitroipa,Rennes,2012-2013,"defensive_1,passing_5,control_0,attack_5",1.0(0.23255813953488372),1.3(0.3023255813953489),0.2(0.05555555555555556),0.2(0.25),2.0(0.3921568627450981)
Sadio Diallo,Rennes,2012-2013,"defensive_1,passing_5,control_0,attack_1",1.2(0.27906976744186046),0.7(0.1627906976744186),0.2(0.05555555555555556),0.1(0.125),1.3(0.25490196078431376)
Jean Makoun,Rennes,2012-2013,"defensive_5,passing_3,control_2,attack_2",0.2(0.04651162790697675),0.3(0.06976744186046512),0.2(0.05555555555555556),0.0(0.0),0.3(0.058823529411764705)
Onyekachi Apam,Rennes,2012-2013,"defensive_3,passing_2,control_1,attack_2",0.0(0.0),0.1(0.023255813953488375),0.0(0.0),0.0(0.0),0.1(0.019607843137254905)
Chris Mavinga,Rennes,2011-2012,"defensive_5,passing_5,control_1,attack_2",0.1(0.023255813953488375),0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0)
Alexander Tettey,Rennes,2011-2012,"defensive_5,passing_3,control_4,attack_5",0.5(0.11627906976744186),1.2(0.27906976744186046),0.4(0.11111111111111112),0.1(0.125),1.2(0.23529411764705882)
Vincent Pajot,Rennes,2011-2012,"defensive_5,passing_3,control_3,attack_1",0.7(0.1627906976744186),0.9(0.20930232558139536),0.7(0.19444444444444442),0.1(0.125),0.9(0.17647058823529413)
John Boye,Rennes,2011-2012,"defensive_3,passing_2,control_2,attack_3",0.0(0.0),0.6(0.13953488372093023),0.2(0.05555555555555556),0.0(0.0),0.1(0.019607843137254905)
Romain Danze,Rennes,2011-2012,"defensive_5,passing_5,control_1,attack_2",0.1(0.023255813953488375),0.3(0.06976744186046512),0.1(0.02777777777777778),0.0(0.0),0.2(0.03921568627450981)
Kader Mangane,Rennes,2011-2012,"defensive_3,passing_2,control_1,attack_3",0.2(0.04651162790697675),0.7(0.1627906976744186),0.6(0.16666666666666666),0.0(0.0),0.0(0.0)
Youssouf Hadji,Rennes,2011-2012,"defensive_1,passing_5,control_5,attack_0",0.9(0.20930232558139536),1.9(0.4418604651162791),0.5(0.1388888888888889),0.4(0.5),2.0(0.3921568627450981)
Georges Mandjeck,Rennes,2011-2012,"defensive_5,passing_2,control_2,attack_2",0.1(0.023255813953488375),0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0)
Jean-Armel Kana-Biyik,Rennes,2011-2012,"defensive_3,passing_2,control_1,attack_3",0.1(0.023255813953488375),0.4(0.0930232558139535),0.2(0.05555555555555556),0.1(0.125),0.1(0.019607843137254905)
Benoit Costil,Rennes,2011-2012,"defensive_1,passing_1,control_1,attack_2",0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0)
Razak Boukari,Rennes,2011-2012,"defensive_1,passing_5,control_5,attack_5",0.9(0.20930232558139536),1.4(0.3255813953488372),0.4(0.11111111111111112),0.0(0.0),2.1(0.411764705882353)
Tongo Doumbia,Rennes,2011-2012,"defensive_5,passing_2,control_3,attack_1",0.6(0.13953488372093023),0.4(0.0930232558139535),0.2(0.05555555555555556),0.0(0.0),0.7(0.13725490196078433)
Yann M'Vila,Rennes,2011-2012,"defensive_5,passing_3,control_4,attack_1",0.7(0.1627906976744186),0.1(0.023255813953488375),0.0(0.0),0.0(0.0),0.5(0.09803921568627452)
Mevlüt Erdinc,Rennes,2011-2012,"defensive_1,passing_5,control_4,attack_0",0.2(0.04651162790697675),2.8(0.6511627906976744),0.6(0.16666666666666666),0.1(0.125),2.4(0.47058823529411764)
