Oscar Hiljemark,Palermo,2015-2016,"defensive_0,passing_0,control_4,attack_1",0.4(0.0930232558139535),0.3(0.06976744186046512),0.2(0.05555555555555556),0.0(0.0),0.7(0.13725490196078433)
Andrea Rispoli,Palermo,2015-2016,"defensive_2,passing_5,control_4,attack_1",0.4(0.0930232558139535),0.4(0.0930232558139535),0.0(0.0),0.0(0.0),0.8(0.15686274509803924)
Aljaz Struna,Palermo,2015-2016,"defensive_4,passing_2,control_1,attack_2",0.1(0.023255813953488375),0.2(0.04651162790697675),0.1(0.02777777777777778),0.0(0.0),0.1(0.019607843137254905)
Stefano Sorrentino,Palermo,2015-2016,"defensive_1,passing_1,control_1,attack_2",0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0)
Aleksandar Trajkovski,Palermo,2015-2016,"defensive_0,passing_0,control_0,attack_1",1.1(0.2558139534883721),0.9(0.20930232558139536),0.2(0.05555555555555556),0.0(0.0),1.5(0.29411764705882354)
Ivaylo Chochev,Palermo,2015-2016,"defensive_4,passing_5,control_2,attack_1",0.4(0.0930232558139535),1.0(0.23255813953488372),0.6(0.16666666666666666),0.0(0.0),1.0(0.19607843137254904)
Franco Vázquez,Palermo,2015-2016,"defensive_0,passing_0,control_0,attack_4",1.6(0.372093023255814),1.2(0.27906976744186046),0.2(0.05555555555555556),0.0(0.0),2.3(0.45098039215686275)
Gastón Brugman,Palermo,2015-2016,"defensive_4,passing_0,control_4,attack_1",1.1(0.2558139534883721),0.4(0.0930232558139535),0.0(0.0),0.0(0.0),0.9(0.17647058823529413)
Sinisa Andjelkovic,Palermo,2015-2016,"defensive_3,passing_2,control_2,attack_2",0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0)
Michel Morganella,Palermo,2015-2016,"defensive_0,passing_2,control_4,attack_2",0.2(0.04651162790697675),0.3(0.06976744186046512),0.0(0.0),0.0(0.0),0.4(0.07843137254901962)
Achraf Lazaar,Palermo,2015-2016,"defensive_4,passing_5,control_4,attack_1",0.9(0.20930232558139536),0.2(0.04651162790697675),0.0(0.0),0.0(0.0),1.0(0.19607843137254904)
Giancarlo Gonzalez,Palermo,2015-2016,"defensive_3,passing_2,control_1,attack_2",0.0(0.0),0.1(0.023255813953488375),0.1(0.02777777777777778),0.0(0.0),0.0(0.0)
Edoardo Goldaniga,Palermo,2015-2016,"defensive_3,passing_2,control_2,attack_2",0.1(0.023255813953488375),0.1(0.023255813953488375),0.3(0.08333333333333333),0.0(0.0),0.1(0.019607843137254905)
Enzo Maresca,Palermo,2015-2016,"defensive_4,passing_3,control_3,attack_2",0.8(0.186046511627907),0.1(0.023255813953488375),0.1(0.02777777777777778),0.0(0.0),0.3(0.058823529411764705)
Mato Jajalo,Palermo,2015-2016,"defensive_4,passing_2,control_4,attack_2",0.6(0.13953488372093023),0.2(0.04651162790697675),0.1(0.02777777777777778),0.0(0.0),0.5(0.09803921568627452)
Robin Quaison,Palermo,2015-2016,"defensive_0,passing_5,control_0,attack_1",0.5(0.11627906976744186),0.6(0.13953488372093023),0.2(0.05555555555555556),0.0(0.0),1.0(0.19607843137254904)
Roberto Vitiello,Palermo,2015-2016,"defensive_2,passing_2,control_1,attack_2",0.0(0.0),0.3(0.06976744186046512),0.1(0.02777777777777778),0.0(0.0),0.0(0.0)
Francesco Della Rocca,Palermo,2011-2012,"defensive_5,passing_0,control_4,attack_2",0.4(0.0930232558139535),0.1(0.023255813953488375),0.0(0.0),0.0(0.0),0.5(0.09803921568627452)
Josip Ilicic,Palermo,2011-2012,"defensive_1,passing_4,control_0,attack_4",1.8(0.4186046511627907),0.7(0.1627906976744186),0.0(0.0),0.4(0.5),1.7(0.33333333333333337)
Alexandros Tzorvas,Palermo,2011-2012,"defensive_1,passing_2,control_1,attack_2",0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0)
Nicolás Bertolo,Palermo,2011-2012,"defensive_5,passing_5,control_0,attack_1",0.2(0.04651162790697675),0.8(0.186046511627907),0.1(0.02777777777777778),0.0(0.0),1.0(0.19607843137254904)
Carlos Labrín,Palermo,2011-2012,"defensive_2,passing_2,control_1,attack_2",0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0)
Emiliano Viviano,Palermo,2011-2012,"defensive_1,passing_1,control_1,attack_2",0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0)
Afriyie Acquah,Palermo,2011-2012,"defensive_5,passing_5,control_4,attack_1",0.7(0.1627906976744186),0.1(0.023255813953488375),0.0(0.0),0.1(0.125),0.7(0.13725490196078433)
Giulio Migliaccio,Palermo,2011-2012,"defensive_3,passing_2,control_2,attack_3",0.0(0.0),0.5(0.11627906976744186),0.4(0.11111111111111112),0.0(0.0),0.2(0.03921568627450981)
Igor Budan,Palermo,2011-2012,"defensive_1,passing_0,control_0,attack_5",0.4(0.0930232558139535),2.0(0.46511627906976744),1.3(0.3611111111111111),0.2(0.25),1.4(0.27450980392156865)
Ezequiel Muñoz,Palermo,2011-2012,"defensive_3,passing_2,control_1,attack_3",0.0(0.0),0.5(0.11627906976744186),0.4(0.11111111111111112),0.0(0.0),0.0(0.0)
Andrea Mantovani,Palermo,2011-2012,"defensive_3,passing_2,control_1,attack_2",0.3(0.06976744186046512),0.3(0.06976744186046512),0.1(0.02777777777777778),0.0(0.0),0.4(0.07843137254901962)
Edgar Barreto,Palermo,2011-2012,"defensive_5,passing_5,control_4,attack_1",0.7(0.1627906976744186),0.1(0.023255813953488375),0.0(0.0),0.1(0.125),0.6(0.11764705882352941)
Eran Zahavi,Palermo,2011-2012,"defensive_5,passing_0,control_4,attack_4",2.6(0.6046511627906977),1.1(0.2558139534883721),0.1(0.02777777777777778),0.3(0.37499999999999994),2.9(0.5686274509803921)
Massimo Donati,Palermo,2011-2012,"defensive_5,passing_3,control_4,attack_1",0.9(0.20930232558139536),0.3(0.06976744186046512),0.2(0.05555555555555556),0.0(0.0),1.0(0.19607843137254904)
Federico Balzaretti,Palermo,2011-2012,"defensive_5,passing_0,control_1,attack_2",0.5(0.11627906976744186),0.2(0.04651162790697675),0.0(0.0),0.0(0.0),0.6(0.11764705882352941)
Fabrizio Miccoli,Palermo,2011-2012,"defensive_1,passing_4,control_4,attack_0",2.9(0.6744186046511628),2.2(0.5116279069767442),0.3(0.08333333333333333),0.2(0.25),3.0(0.5882352941176471)
Matías Silvestre,Palermo,2011-2012,"defensive_3,passing_2,control_1,attack_3",0.0(0.0),0.4(0.0930232558139535),0.3(0.08333333333333333),0.0(0.0),0.0(0.0)
Abel Hernández,Palermo,2011-2012,"defensive_1,passing_5,control_0,attack_0",1.2(0.27906976744186046),2.5(0.5813953488372093),0.7(0.19444444444444442),0.4(0.5),2.7(0.5294117647058825)
Eros Pisano,Palermo,2011-2012,"defensive_2,passing_5,control_1,attack_3",0.2(0.04651162790697675),0.4(0.0930232558139535),0.2(0.05555555555555556),0.0(0.0),0.4(0.07843137254901962)
Salvatore Sirigu,Palermo,2010-2011,"defensive_1,passing_1,control_1,attack_2",0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0)
Dorin Goian,Palermo,2010-2011,"defensive_3,passing_2,control_1,attack_2",0.0(0.0),0.2(0.04651162790697675),0.1(0.02777777777777778),0.0(0.0),0.0(0.0)
Josip Ilicic,Palermo,2010-2011,"defensive_1,passing_4,control_0,attack_4",1.6(0.372093023255814),0.9(0.20930232558139536),0.0(0.0),0.2(0.25),2.1(0.411764705882353)
Giulio Migliaccio,Palermo,2010-2011,"defensive_5,passing_2,control_2,attack_3",0.1(0.023255813953488375),0.5(0.11627906976744186),0.5(0.1388888888888889),0.0(0.0),0.2(0.03921568627450981)
Antonio Nocerino,Palermo,2010-2011,"defensive_1,passing_0,control_4,attack_1",0.6(0.13953488372093023),0.7(0.1627906976744186),0.1(0.02777777777777778),0.1(0.125),1.1(0.21568627450980396)
Mauricio Pinilla,Palermo,2010-2011,"defensive_1,passing_0,control_0,attack_0",1.6(0.372093023255814),3.1(0.7209302325581396),1.2(0.3333333333333333),0.6(0.7499999999999999),3.4(0.6666666666666667)
Federico Balzaretti,Palermo,2010-2011,"defensive_2,passing_0,control_1,attack_3",0.2(0.04651162790697675),0.6(0.13953488372093023),0.0(0.0),0.0(0.0),0.5(0.09803921568627452)
Mattia Cassani,Palermo,2010-2011,"defensive_2,passing_4,control_1,attack_2",0.4(0.0930232558139535),0.2(0.04651162790697675),0.0(0.0),0.0(0.0),0.3(0.058823529411764705)
Fabrizio Miccoli,Palermo,2010-2011,"defensive_1,passing_4,control_3,attack_0",2.4(0.5581395348837209),2.6(0.6046511627906977),0.2(0.05555555555555556),0.4(0.5),3.6(0.7058823529411765)
Cesare Bovo,Palermo,2010-2011,"defensive_3,passing_2,control_1,attack_1",0.8(0.186046511627907),0.4(0.0930232558139535),0.2(0.05555555555555556),0.0(0.0),0.2(0.03921568627450981)
Javier Pastore,Palermo,2010-2011,"defensive_1,passing_0,control_0,attack_0",1.1(0.2558139534883721),1.9(0.4418604651162791),0.3(0.08333333333333333),0.3(0.37499999999999994),2.4(0.47058823529411764)
Armin Bacinovic,Palermo,2010-2011,"defensive_5,passing_3,control_4,attack_1",0.7(0.1627906976744186),0.1(0.023255813953488375),0.0(0.0),0.1(0.125),0.5(0.09803921568627452)
Abel Hernández,Palermo,2010-2011,"defensive_1,passing_5,control_4,attack_0",1.3(0.3023255813953489),2.3(0.5348837209302325),0.1(0.02777777777777778),0.5(0.625),2.9(0.5686274509803921)
Ezequiel Muñoz,Palermo,2010-2011,"defensive_3,passing_2,control_1,attack_3",0.0(0.0),0.6(0.13953488372093023),0.7(0.19444444444444442),0.0(0.0),0.1(0.019607843137254905)
Jasmin Kurtic,Palermo,2012-2013,"defensive_5,passing_3,control_4,attack_4",1.6(0.372093023255814),0.4(0.0930232558139535),0.0(0.0),0.0(0.0),1.5(0.29411764705882354)
