Giancarlo Gonzalez,Palermo,2,2016-2017,27.4(0.2407574391343553),3.8(0.23899371069182387),0.0(0.0),0.2(0.05882352941176471),0.2(0.09090909090909091)
Andrea Fulignati,Palermo,1,2016-2017,5.3(0.04147880973850315),9.2(0.5786163522012578),0.0(0.0),0.0(0.0),0.0(0.0)
Ilija Nestorovski,Palermo,5,2016-2017,15.4(0.13255184851217314),0.7(0.0440251572327044),0.0(0.0),1.0(0.29411764705882354),0.1(0.045454545454545456)
Edoardo Goldaniga,Palermo,2,2016-2017,24.7(0.21641118124436431),3.6(0.22641509433962265),0.1(0.022727272727272728),0.1(0.029411764705882356),0.0(0.0)
Mato Jajalo,Palermo,5,2016-2017,37.2(0.32912533814247075),2.7(0.169811320754717),0.4(0.09090909090909091),0.8(0.23529411764705885),0.2(0.09090909090909091)
Robin Quaison,Palermo,5,2016-2017,17.3(0.14968440036068534),0.8(0.050314465408805034),0.1(0.022727272727272728),0.6(0.17647058823529413),0.0(0.0)
Alessandro Gazzi,Palermo,2,2016-2017,41.1(0.3642921550946799),2.6(0.16352201257861634),0.0(0.0),0.1(0.029411764705882356),0.0(0.0)
Ivaylo Chochev,Palermo,5,2014-2015,31.1(0.2741208295761948),0.5(0.031446540880503145),0.3(0.06818181818181818),1.0(0.29411764705882354),0.1(0.045454545454545456)
Francesco Bolzoni,Palermo,5,2014-2015,30.2(0.2660054102795311),1.7(0.10691823899371068),0.2(0.045454545454545456),0.5(0.14705882352941177),0.2(0.09090909090909091)
Andrea Rispoli,Palermo,0,2014-2015,23.9(0.20919747520288548),1.2(0.07547169811320754),1.1(0.25),1.2(0.35294117647058826),0.1(0.045454545454545456)
Stefano Sorrentino,Palermo,1,2014-2015,5.0(0.0387736699729486),7.2(0.4528301886792453),0.0(0.0),0.0(0.0),0.0(0.0)
Luca Rigoni,Palermo,5,2014-2015,30.4(0.2678088367899008),1.7(0.10691823899371068),0.1(0.022727272727272728),0.7(0.20588235294117646),0.1(0.045454545454545456)
Andrea Belotti,Palermo,5,2014-2015,15.5(0.133453561767358),0.1(0.006289308176100629),0.2(0.045454545454545456),1.4(0.4117647058823529),0.0(0.0)
Ezequiel Muñoz,Palermo,2,2014-2015,24.3(0.2128043282236249),3.2(0.20125786163522014),0.0(0.0),0.0(0.0),0.0(0.0)
