,index,team_id,opponent_team_id,playerName,AerialLossPerD90m,AerialLossPerDefense,AerialLossTotal,AerialWonPerD90m,AerialWonPerDefense,AerialWonTotal,AttackTimes,ClearPerD90m,ClearPerDefense,ClearTotal,DefendTimes,DispossessedInD3rdPerA90m,DispossessedInD3rdPerAttack,DispossessedInD3rdTotal,DispossessedPerA90m,DispossessedPerAttack,DispossessedTotal,DribblePerA90m,DribblePerAttack,DribbleTotal,ForwardPassMeterPerA90m,ForwardPassMeterPerAttack,ForwardPassMeterTotal,ForwardPassPerA90m,ForwardPassPerAttack,ForwardPassTotal,FoulPerD90m,FoulPerDefense,FoulTotal,FouledPerA90m,FouledPerAttack,FouledTotal,GoalPerA90m,GoalPerAttack,GoalTotal,InterceptionsPerD90m,InterceptionsPerDefense,InterceptionsTotal,KeyPassPerA90m,KeyPassPerAttack,KeyPassTotal,PassCrossAccuratePerA90m,PassCrossAccuratePerAttack,PassCrossAccurateTotal,PassLeadingKpPerA90m,PassLeadingKpPerAttack,PassLeadingKpTotal,PassPerA90m,PassPerAttack,PassTotal,Rounds,SavePerD90m,SavePerDefense,SaveTotal,ShotPerA90m,ShotPerAttack,ShotTotal,SuccessPassPerA90m,SuccessPassPerAttack,SuccessPassTotal,SuccessfulPassToA3rdPerA90m,SuccessfulPassToA3rdPerAttack,SuccessfulPassToA3rdTotal,TacklesPerD90m,TacklesPerDefense,TacklesTotal,TurnoverPerA90m,TurnoverPerAttack,TurnoverTotal,UnSuccessPassPerA90m,UnSuccessPassPerAttack,UnSuccessPassTotal,minutes
10,10,2754,1400,James McArthur,0.25355212956900297,0.2701263825661289,0.22077922077922077,0.2704014351792971,0.28485016357361564,0.25773195876288657,0.3784113092352641,0.19512364426827467,0.21302407946733082,0.2857142857142857,0.5380483299984608,0.45570608065925805,0.5202641405936833,0.45454545454545453,0.6261795112232682,0.49182536739705046,0.46153846153846156,0.3511799225870895,0.3270231740874581,0.2857142857142857,0.08211107533595897,0.06854745376642449,0.03521205921611046,0.23778272262882622,0.1623163535753073,0.1897810218978102,0.5827905663222548,0.7258626077729062,0.6585365853658537,0.2542375806739712,0.20705944581304275,0.19148936170212766,0.0,0.0,0.0,0.21820864198683826,0.25240423527683775,0.2,0.2638198693136886,0.25369124055594233,0.2549019607843137,0.021074368258785777,0.02260028205723263,0.029411764705882353,0.2739667873642151,0.24768671415225138,0.28205128205128205,0.2864375181191321,0.1985437321333002,0.22796934865900384,0.4976966107272129,,,,0.3319114481057295,0.2774742083166312,0.24242424242424243,0.26035346513427227,0.20958141331225227,0.21145833333333333,0.28988834851059037,0.2267895532648921,0.19811320754716982,0.3816515548178801,0.4775629831332053,0.3269230769230769,0.6251397393511795,0.6377617292475165,0.5686274509803921,0.28791048558446397,0.2731347965888231,0.35580524344569286,0.5087976539589443
11,11,192,586,Marouane Fellaini,0.7081933943417028,0.6989142600497108,0.16883116883116883,1.0,1.0,0.31958762886597936,0.08536952847616172,1.0,1.0,0.42857142857142855,0.045020778820994325,0.20645717841384761,0.29458846016007645,0.09090909090909091,0.4386489794275267,0.4418037988151534,0.1346153846153846,0.0,0.0,0.0,0.11391433335643779,0.10485062733992496,0.028395407543572886,0.4871786750486743,0.4635427064113449,0.06642335766423357,0.5558027116183978,0.6516474674394714,0.1951219512195122,0.2639683323985129,0.28128000320149155,0.06382978723404255,0.0,0.0,0.0,0.09752191974213228,0.10966219971791075,0.0,0.045970509484481635,0.05524894145130676,0.0196078431372549,0.0,0.0,0.0,0.056418352549136554,0.06374877859766165,0.02564102564102564,0.4027834985346251,0.41920963417735163,0.06417624521072797,0.039157617637380716,,,,0.1879651818558935,0.19639230677338432,0.06060606060606061,0.4011506596144622,0.42319533083821315,0.07604166666666666,0.2883756750807265,0.3080295693952779,0.0660377358490566,0.666846434353506,0.7830358572057557,0.1346153846153846,0.0,0.0,0.0,0.21449131724990028,0.3352211936265276,0.0749063670411985,0.05083088954056696
12,12,4600,2290,Jack Cork,0.6186621181996836,0.6267231995002652,0.8051948051948052,0.21452656376868662,0.21942692377004872,0.32989690721649484,0.6679942877356633,0.4031982784453598,0.4171577824713902,0.9206349206349206,0.993012159458212,0.11745349810130654,0.12524123920771965,0.18181818181818182,0.2959166723836126,0.21598351270604196,0.36538461538461536,0.5204495719894447,0.4526576217079011,0.6571428571428571,0.07235179880498796,0.059923415758943444,0.041301131857811424,0.2037901545820039,0.11182312330623805,0.33065693430656934,0.20475359653734526,0.23794508071514112,0.43902439024390244,0.5219418077836571,0.3871306894432622,0.6170212765957447,0.07666645212503488,0.08230912476722531,0.14285714285714285,0.14157564259999814,0.16098102939253858,0.25,0.1307631245843256,0.11744258224705151,0.19607843137254902,0.013579247552987657,0.013601203266007732,0.029411764705882353,0.11233741157471608,0.09485747027646471,0.1794871794871795,0.20215779809423198,0.1182283358561031,0.3649425287356322,0.9667653833497861,,,,0.16040010063952917,0.12524123920771965,0.18181818181818182,0.19711014281725206,0.1461123770204494,0.3328125,0.28042810320577327,0.1986054590554507,0.32075471698113206,0.09896605993254623,0.11696867205460958,0.21153846153846154,0.3120312071673708,0.2867172470112048,0.47058823529411764,0.2503336450395744,0.18627328787811948,0.5617977528089888,0.9418377321603129
13,13,3798,1206,Dale Stephens,0.12990108025476993,0.14188241122537879,0.15584415584415584,0.18542362378214616,0.19502194317198965,0.20618556701030927,0.38918076172258825,0.2228006076760645,0.24154946497548732,0.38095238095238093,0.6616438356164387,0.0,0.0,0.0,0.1315686504239894,0.08734398279345487,0.11538461538461539,0.13764651185553142,0.11194779401333523,0.11428571428571428,0.10377893191408359,0.07741293655905973,0.04697467504818248,0.4192766459781502,0.19161371837582186,0.2583941605839416,0.6094413186724053,0.7581886996416611,0.8048780487804879,0.18918111527325465,0.12949913743725666,0.14893617021276595,0.11658958736062514,0.11704733531943066,0.14285714285714285,0.3293107613882082,0.37392888273180996,0.35,0.13919951713281295,0.11690610173231819,0.13725490196078433,0.02065047781640631,0.01934153235046979,0.029411764705882353,0.14643066087997206,0.11562141929569933,0.15384615384615385,0.41353744111061785,0.18758367705282236,0.27490421455938696,0.617143797301744,,,,0.10163605368783143,0.07420781800126389,0.07575757575757576,0.3806003240281417,0.20984221180702142,0.25885416666666666,0.46073711616756197,0.2923008910145211,0.29245283018867924,0.5369560755963863,0.6698927144661423,0.5384615384615384,0.324413234752433,0.2750592989696284,0.3137254901960784,0.34578364710755205,0.24645607233669345,0.41198501872659177,0.5869990224828935
14,14,483,1886,Mohamed Diamé,0.3751313481868347,0.3893123071837973,0.42857142857142855,0.2719466810814664,0.2824996315079786,0.35051546391752575,0.4921980426323579,0.22157201414249514,0.23680700878640595,0.4444444444444444,0.7993381560720336,0.6740765442232708,0.6829028138894445,0.8181818181818182,0.6615351916934382,0.45640277809271007,0.5961538461538461,0.4040262671865382,0.3338635979015062,0.4,0.08356164556739742,0.0655849137032718,0.04153036711579542,0.06513159672071717,0.01922515337397602,0.181021897810219,0.4645194665729725,0.5669893687117256,0.7317073170731707,0.3183199201728129,0.22276160207178264,0.2978723404255319,0.0,0.0,0.0,0.2582547637576789,0.29128326362333085,0.3333333333333333,0.03335385457281619,0.02846129256689419,0.0392156862745098,0.01731834756665456,0.016480726922426026,0.029411764705882353,0.020467138033319027,0.016419976480900496,0.02564102564102564,0.024732523273037092,0.008027225950723228,0.19875478927203066,0.7609410990457387,,,,0.2727558780914004,0.20234157448576132,0.24242424242424243,0.00976869780847447,0.03334995844249327,0.16875,0.10227678268525192,0.06974833569452865,0.1320754716981132,0.5174499283767225,0.6357468395158354,0.6153846153846154,0.48610026617452934,0.42995982739235833,0.5490196078431373,0.2705893291890593,0.1777842499064592,0.43820224719101125,0.7316715542521994
15,15,420,1085,Moussa Sissoko,0.17886733251899986,0.14412257296045392,0.1038961038961039,0.17575513061638587,0.15170351576658211,0.1134020618556701,0.3862460204121738,0.13184070235991627,0.11296450844151215,0.12698412698412698,0.2984300446359861,0.26940063479565973,0.37783452502553627,0.2727272727272727,0.32064699431813526,0.3204415131676024,0.25,0.6920256870801864,0.7916532905296951,0.5714285714285714,0.052973144547408965,0.05139997297834685,0.020540238066857768,0.2465265642772594,0.2800748473327692,0.19708029197080293,0.2401380628962476,0.22201179847398703,0.1951219512195122,0.16124142710273234,0.17608782864947312,0.1276595744680851,0.0,0.0,0.0,0.1253031802867491,0.10920858728370884,0.06666666666666667,0.23994291759958664,0.2834456928838951,0.23529411764705882,0.020764290946118074,0.027355229040622302,0.029411764705882353,0.19631693258147997,0.21803514837222707,0.20512820512820512,0.4351201103817704,0.4274796224776867,0.2796934865900383,0.37446528463310297,,,,0.16351393769399336,0.16792645556690505,0.12121212121212122,0.44781372212157367,0.4436989338549139,0.28020833333333334,0.319344588656078,0.32837129571895723,0.2169811320754717,0.3025832983479687,0.2825412497280328,0.15384615384615385,0.3931075108371645,0.5017971593073474,0.37254901960784315,0.10246150376275998,0.15906586328675265,0.21348314606741572,0.38514173998044965
16,16,1477,613,Beram Kayal,0.5811286031611265,0.6952554912631709,0.22077922077922077,0.25646669170983094,0.3041617399703566,0.12371134020618557,0.03800752027460791,0.38357082402106535,0.4670020646240474,0.25396825396825395,0.17169462828998003,0.25952855009599646,0.23147322476181537,0.09090909090909091,0.48802181029988195,0.29121640104937885,0.11538461538461539,1.0,0.7274872778228484,0.2857142857142857,0.09413509275713342,0.06760265121381762,0.02114494855344503,0.2294036005398204,0.05170467741163766,0.0021897810218978104,0.48286458916692243,0.6874220884697231,0.2682926829268293,0.5206885452117147,0.31459058938879786,0.10638297872340426,0.3388086942093911,0.3042505592841163,0.14285714285714285,0.4313117502595664,0.5577713338662453,0.16666666666666666,0.17336272488089308,0.1302357597659611,0.058823529411764705,0.06001017399723221,0.05027600174734919,0.029411764705882353,0.21276334417200515,0.1502720304991859,0.07692307692307693,0.11101698128297177,0.0,0.0,0.10743665679499835,,,,0.17721228497734223,0.11573661238090768,0.045454545454545456,0.011529387212136569,0.0,0.0,0.06592421702571606,0.028543648644360983,0.0047169811320754715,0.3039615729528375,0.4480826008019676,0.09615384615384616,0.5265926110842729,0.4035186029302648,0.1568627450980392,0.49189481749854114,0.31255868829917877,0.11610486891385768,0.093841642228739
17,17,546,1901,Georginio Wijnaldum,0.30349315941326666,0.2241821533898946,0.24675324675324675,0.17987259302963082,0.1431132058839086,0.16494845360824742,0.6954550814259697,0.14174903402109967,0.10880092451994255,0.20634920634920634,0.5099430506387569,0.22724301102048433,0.3267361168618228,0.36363636363636365,0.3864236014496066,0.39417276993264255,0.4807692307692308,0.372129693045265,0.43642609895114903,0.4857142857142857,0.08104519125918819,0.07650393506218023,0.049444666542943404,0.33710259184212116,0.3609306291975,0.41751824817518246,0.26941351380428546,0.22486307660249888,0.3170731707317073,0.3165747208190537,0.33607551387650847,0.40425531914893614,0.14833032397318557,0.21473249529361757,0.2857142857142857,0.16781440918970134,0.12999590136994527,0.15,0.17709565614428324,0.21447339122689818,0.27450980392156865,0.026272432504921138,0.03548355452163068,0.058823529411764705,0.21734466890434762,0.2474692975694979,0.358974358974359,0.4515018389095092,0.4587558162791529,0.5047892720306514,0.6918394208621257,,,,0.2586115812253662,0.2722800973848524,0.30303030303030304,0.5252437533310148,0.5157143299968526,0.525,0.5292331291593697,0.5294801158259552,0.5377358490566038,0.2760958249430535,0.2233799273241377,0.23076923076923078,0.4406826504971698,0.5785100873090684,0.6666666666666666,0.0,0.020228789242102616,0.26591760299625467,0.695503421309873
18,18,594,2243,Etienne Capoue,0.3956571836024577,0.3706537702837839,0.45454545454545453,0.4506274983731525,0.4300777822394741,0.5876288659793815,0.6105834108506819,0.5192918300934607,0.49664334268839866,0.9841269841269841,0.8110974295828846,0.31590814666066525,0.344524078963913,0.45454545454545453,0.2091648294934034,0.15714177688768433,0.25,0.4138610947616245,0.3681485872357242,0.4857142857142857,0.11695321996303336,0.09024053641945504,0.07184141365543635,0.41211195928304556,0.23621229447884587,0.4021897810218978,0.5434888919085479,0.6033216326921951,0.8536585365853658,0.6291726841507779,0.47788859609275125,0.6808510638297872,0.08248219829426766,0.09056913067978074,0.14285714285714285,0.8372893227591391,0.8385742837142364,1.0,0.08440951424713496,0.07753701142359509,0.11764705882352941,0.0,0.0,0.0,0.08632791229820622,0.07455481867653375,0.1282051282051282,0.44407282033356255,0.2554931648403804,0.4410919540229885,0.8593287265547878,,,,0.18694833597198307,0.14929376755102897,0.19696969696969696,0.4230527683787892,0.2757889474332158,0.41510416666666666,0.4419711139624539,0.31654033642609697,0.41509433962264153,0.5276539380200979,0.5830287914671534,0.6346153846153846,0.12081997540166448,0.10453361566903503,0.19607843137254902,0.30760806354546644,0.2648418577722402,0.5805243445692884,0.8079178885630498
19,19,3008,1143,Aron Gunnarsson,0.29788743043340193,0.30027783000980696,0.24675324675324675,0.3323578939285069,0.3361257932009246,0.30927835051546393,0.34086234229040846,0.37458627543299605,0.3832555857092788,0.5079365079365079,0.5204709866092044,0.09816697598106452,0.10231940583378284,0.09090909090909091,0.03265240626796804,0.02264506936288295,0.038461538461538464,0.22695069797466316,0.19294516528656194,0.17142857142857143,0.13594971803276315,0.09986541208914189,0.0588530480635987,0.3752473936485896,0.19196692896173403,0.2124087591240876,0.3122187506348523,0.3645658602205662,0.36585365853658536,0.3759138206857937,0.27213229638564124,0.2553191489361702,0.1281547827178425,0.13448957857903543,0.14285714285714285,0.42970053753664017,0.4626488940483511,0.36666666666666664,0.13114930471502725,0.11513768446675796,0.11764705882352941,0.045397836247509434,0.044447565214338375,0.058823529411764705,0.08047798243876673,0.06642558719236036,0.07692307692307693,0.20363864012681654,0.10804663217621203,0.1810344827586207,0.5097071405067456,,,,0.22343584314051515,0.17053234305630474,0.15151515151515152,0.0,0.03658796275854405,0.109375,0.29561393420721965,0.2017732540830326,0.18396226415094338,0.14654689136266758,0.17086509141934245,0.1346153846153846,0.33738097937294675,0.3028688605549921,0.29411764705882354,0.3323612043724971,0.2617295381436507,0.35580524344569286,0.4804496578690127
