CoachA,CoachB,relationship
Kevin McHale,Jimmy Rodgers,player
Kevin McHale,Chris Ford,player
John Lucas,Don Chaney,player
John Lucas,Bernie Bickerstaff,player
John Lucas,Del Harris,player
John Lucas,Don Nelson,player
John Lucas,Bill Fitch,player
John Lucas,Morris McHone,player
John Lucas,Bob Bass,player
John Lucas,Gene Shue,player
John Lucas,Al Attles,player
John Lucas,Tom Nissalke,player
Larry Brown,Alex Hannum,player
Larry Brown,Al Bianchi,player
Larry Brown,Joe Belmont,player
Larry Brown,Stan Albeck,player
Larry Brown,Babe McCarthy,player
Kevin Loughery,Dick McGuire,player
Kevin Loughery,Charles Wolf,player
Kevin Loughery,Slick Leonard,player
Kevin Loughery,Gene Shue,player
Kevin Loughery,Paul Seymour,player
Kevin Loughery,Buddy Jeannette,player
Kevin Loughery,Jack Ramsay,player
Kevin Loughery,Roy Rubin,player
Doug Collins,Billy Cunningham,player
Jerry Sloan,Red Kerr,player
Jerry Sloan,Dick Motta,player
Tyrone Corbin,Cotton Fitzsimmons,player
Tyrone Corbin,Bob Weiss,player
Tyrone Corbin,Lenny Wilkens,player
Tyrone Corbin,John Wetzel,player
Tyrone Corbin,Bill Musselman,player
Tyrone Corbin,Jimmy Rodgers,player
Tyrone Corbin,Jerry Sloan,player
Tyrone Corbin,Garry St. Jean,player
Tyrone Corbin,Pat Riley,player
Tyrone Corbin,Rick Adelman,player
Sam Mitchell,Bill Musselman,player
Sam Mitchell,Jimmy Rodgers,player
Sam Mitchell,Bob Hill,player
Sam Mitchell,Larry Brown,player
Sam Mitchell,Bill Blair,player
Sam Mitchell,Flip Saunders,player
Earl Watson,Nate McMillan,player
Earl Watson,Sidney Lowe,player
Earl Watson,Hubie Brown,player
Earl Watson,Lionel Hollins,player
Earl Watson,Mike Fratello,player
Earl Watson,George Karl,player
Earl Watson,Bob Weiss,player
Earl Watson,Bob Hill,player
Earl Watson,P.J. Carlesimo,player
Earl Watson,Scott Brooks,player
Earl Watson,Jim O'Brien,player
Earl Watson,Jerry Sloan,player
Earl Watson,Tyrone Corbin,player
Earl Watson,Terry Stotts,player
George Karl,Tom Nissalke,player
George Karl,Bob Bass,player
George Karl,Doug Moe,player
Marc Iavaroni,Billy Cunningham,player
Marc Iavaroni,Cotton Fitzsimmons,player
Marc Iavaroni,Frank Layden,player
Marc Iavaroni,Jerry Sloan,player
Johnny Davis,Jack Ramsay,player
Johnny Davis,Slick Leonard,player
Johnny Davis,Jack McKinney,player
Johnny Davis,Kevin Loughery,player
Johnny Davis,Mike Fratello,player
Johnny Davis,George Karl,player
Johnny Davis,Gene Littles,player
Lionel Hollins,Lenny Wilkens,player
Lionel Hollins,Jack McKinney,player
Lionel Hollins,Billy Cunningham,player
Lionel Hollins,Paul Silas,player
